Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
7-10.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	7-10.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00568	0,00568

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,6182988	0
0,01	0,6484985	0,0001
0,02	0,6167094	0,0002666667
0,03	0,4990896	0,0005
0,04	0,3306071	0,0006666667
0,05	0,1653035	0,0008333334
0,06	0,03496806	0,001
0,07	-0,06039937	0,0012
0,08	-0,1176198	0,001333333
0,09	-0,1398722	0,0015
0,1	-0,1319249	0,001666667
0,11	-0,1128515	0,001866667
0,12	-0,06834666	0,002
0,13	0,007947286	0,0022
0,14	0,111262	0,002366667
0,15	0,2161662	0,002533333
0,16	0,2876917	0,0027
0,17	0,3115336	0,002866667
0,18	0,2892812	0,003033333
0,19	0,2527237	0,0032
0,2	0,2241135	0,003333333
0,21	0,2161662	0,0035
0,22	0,20504	0,003666667
0,23	0,184377	0,003833333
0,24	0,1684825	0,004
0,25	0,1700719	0,004133333
0,26	0,1970927	0,004333334
0,27	0,243187	0,0045
0,28	0,3115336	0,004666667
0,29	0,41008	0,004866667
0,3	0,5483627	0,005
0,31	0,705719	0,0052
0,32	0,8503596	0,005366667
0,33	0,9504954	0,005533333
0,34	1,007716	0,0057
0,35	1,05381	0,005866667
0,36	1,115799	0,006
0,37	1,214345	0,006166667
0,38	1,333555	0,006366667
0,39	1,46389	0,006533334
0,4	1,594226	0,006666667
0,41	1,716614	0,006866667
0,42	1,850128	0,007033333
0,43	2,02179	0,0072
0,44	2,236366	0,007333334
0,45	2,465248	0,0075
0,46	2,657573	0,007666667
0,47	2,81016	0,007866667
0,48	2,948443	0,008
0,49	3,105799	0,008166667
0,5	3,28064	0,008333334
0,51	3,445943	0,008533333
0,52	3,584226	0,008666667
0,53	3,698667	0,008866667
0,54	3,805161	0,009033334
0,55	3,900528	0,009166666
0,56	3,98159	0,009333333
0,57	4,057884	0,009533334
0,58	4,142126	0,009666666
0,59	4,242261	0,009866667
0,6	4,364649	0,01003333
0,61	4,491806	0,01016667
0,62	4,620552	0,01033333
0,63	4,739761	0,01053333
0,64	4,858971	0,01066667
0,65	5,000432	0,01083333
0,66	5,172094	0,01103333
0,67	5,362829	0,0112
0,68	5,555153	0,01133333
0,69	5,73953	0,01153333
0,7	5,91437	0,0117
0,71	6,079674	0,01183333
0,72	6,246567	0,012
0,73	6,416639	0,01216667
0,74	6,5883	0,01236667
0,75	6,740888	0,01253333
0,76	6,875992	0,0127
0,77	7,006327	0,01283333
0,78	7,128716	0,01303333
0,79	7,239977	0,0132
0,8	7,338524	0,01333333
0,81	7,430712	0,0135
0,82	7,530848	0,01366667
0,83	7,667542	0,01386667
0,84	7,843971	0,014
0,85	8,031528	0,0142
0,86	8,179347	0,01433333
0,87	8,281072	0,01453333
0,88	8,376439	0,0147
0,89	8,49406	0,01483333
0,9	8,635521	0,01503333
0,91	8,778572	0,0152
0,92	8,912086	0,01533333
0,93	9,034474	0,01553333
0,94	9,167989	0,0157
0,95	9,325345	0,01583333
0,96	9,512901	0,016
0,97	9,719531	0,0162
0,98	9,929339	0,01636667
0,99	10,12166	0,01653333
1	10,2965	0,01666667
1,01	10,46975	0,01686667
1,02	10,65254	0,01703333
1,03	10,8401	0,0172
1,04	11,01176	0,01733333
1,05	11,15481	0,0175
1,06	11,27243	0,0177
1,07	11,3678	0,01786667
1,08	11,44091	0,01803333
1,09	11,5029	0,0182
1,1	11,56807	0,01833333
1,11	11,65867	0,01853333
1,12	11,77152	0,0187
1,13	11,90027	0,01886667
1,14	12,0306	0,01903333
1,15	12,16888	0,01916667
1,16	12,32147	0,01936667
1,17	12,49472	0,01953333
1,18	12,68069	0,0197
1,19	12,85712	0,01983333
1,2	13,00971	0,02
1,21	13,13369	0,0202
1,22	13,24495	0,02036667
1,23	13,37369	0,02053333
1,24	13,52787	0,0207
1,25	13,7043	0,02083333
1,26	13,89186	0,02103333
1,27	14,08259	0,0212
1,28	14,25902	0,02133333
1,29	14,41956	0,02153333
1,3	14,56579	0,0217
1,31	14,69771	0,02186667
1,32	14,81056	0,022
1,33	14,90911	0,0222
1,34	15,01242	0,02233333
1,35	15,11256	0,02253333
1,36	15,20793	0,02266667
1,37	15,3176	0,02286667
1,38	15,44793	0,02303333
1,39	15,59416	0,0232
1,4	15,74039	0,02333333
1,41	15,89616	0,02353333
1,42	16,07259	0,02366667
1,43	16,25697	0,02386667
1,44	16,40479	0,02403333
1,45	16,50175	0,02416667
1,46	16,58916	0,02433333
1,47	16,71155	0,02453333
1,48	16,88321	0,0247
1,49	17,06759	0,02486667
1,5	17,22177	0,025
1,51	17,35052	0,0252
1,52	17,48562	0,02536667
1,53	17,67953	0,02553333
1,54	17,9259	0,0257
1,55	18,16591	0,02586667
1,56	18,32803	0,026
1,57	18,40433	0,02616667
1,58	18,46472	0,02633333
1,59	18,56009	0,02653333
1,6	18,69043	0,02666667
1,61	18,82394	0,02683333
1,62	18,94633	0,027
1,63	19,05123	0,0272
1,64	19,1625	0,02733333
1,65	19,28488	0,02753333
1,66	19,42476	0,02766667
1,67	19,57099	0,02786667
1,68	19,72357	0,028
1,69	19,88411	0,0282
1,7	20,03829	0,02833333
1,71	20,17657	0,02853333
1,72	20,30691	0,02866667
1,73	20,43565	0,02886667
1,74	20,57076	0,029
1,75	20,73129	0,0292
1,76	20,91726	0,02936667
1,77	21,11753	0,02953333
1,78	21,3019	0,0297
1,79	21,44655	0,02986667
1,8	21,56417	0,03
1,81	21,67543	0,0302
1,82	21,79782	0,03036667
1,83	21,94723	0,03053333
1,84	22,12683	0,03066667
1,85	22,30009	0,03086667
1,86	22,44155	0,03103333
1,87	22,55758	0,0312
1,88	22,67043	0,03133333
1,89	22,80235	0,03153333
1,9	22,96607	0,0317
1,91	23,1425	0,03186667
1,92	23,30303	0,032
1,93	23,42224	0,0322
1,94	23,52079	0,03233333
1,95	23,62887	0,03253333
1,96	23,77033	0,03266667
1,97	23,94676	0,03286667
1,98	24,13432	0,03303333
1,99	24,30598	0,0332
2	24,44426	0,03333334
2,01	24,56188	0,03353333
2,02	24,69222	0,0337
2,03	24,84957	0,03386667
2,04	25,01011	0,034
2,05	25,14839	0,0342
2,06	25,27078	0,03436667
2,07	25,39953	0,03453333
2,08	25,54258	0,03466667
2,09	25,69834	0,03486667
2,1	25,85093	0,03503333
2,11	25,9908	0,0352
2,12	26,1275	0,03533334
2,13	26,27691	0,0355
2,14	26,44539	0,03566667
2,15	26,6091	0,03583333
2,16	26,74739	0,036
2,17	26,85388	0,0362
2,18	26,95878	0,03636667
2,19	27,09866	0,03653333
2,2	27,28303	0,03666667
2,21	27,47536	0,03686667
2,22	27,63271	0,03703333
2,23	27,75351	0,0372
2,24	27,8616	0,03736667
2,25	27,99193	0,03753334
2,26	28,1477	0,03766667
2,27	28,29711	0,03786667
2,28	28,42744	0,038
2,29	28,54347	0,03816667
2,3	28,67381	0,03833333
2,31	28,82481	0,03853333
2,32	28,97421	0,03866667
2,33	29,10932	0,03886667
2,34	29,25078	0,03903333
2,35	29,40337	0,0392
2,36	29,56867	0,03933333
2,37	29,73715	0,03953333
2,38	29,89769	0,0397
2,39	30,03597	0,03986667
2,4	30,15359	0,04
2,41	30,27598	0,04016667
2,42	30,42221	0,04033333
2,43	30,59705	0,04053333
2,44	30,75441	0,04066667
2,45	30,87044	0,04083334
2,46	30,96263	0,04103334
2,47	31,08343	0,0412
2,48	31,24078	0,04136667
2,49	31,41721	0,04153333
2,5	31,59682	0,04166667
2,51	31,75735	0,04183333
2,52	31,89882	0,042
2,53	32,02121	0,0422
2,54	32,15631	0,04233333
2,55	32,31208	0,04253333
2,56	32,47261	0,04266667
2,57	32,61566	0,04286667
2,58	32,75712	0,043
2,59	32,89859	0,0432
2,6	33,04005	0,04333333
2,61	33,16562	0,04353333
2,62	33,28482	0,0437
2,63	33,41039	0,04386667
2,64	33,55344	0,044
2,65	33,72033	0,0442
2,66	33,89041	0,04436667
2,67	34,04617	0,0445
2,68	34,17651	0,04466667
2,69	34,30367	0,04486667
2,7	34,44354	0,04503334
2,71	34,59295	0,0452
2,72	34,75189	0,04533333
2,73	34,91084	0,04553333
2,74	35,04912	0,04566667
2,75	35,16833	0,04586667
2,76	35,28754	0,046
2,77	35,429	0,0462
2,78	35,58159	0,04636667
2,79	35,73418	0,04653334
2,8	35,89153	0,04666667
2,81	36,06319	0,04686667
2,82	36,22373	0,047
2,83	36,35406	0,0472
2,84	36,46851	0,04733333
2,85	36,60043	0,0475
2,86	36,74984	0,0477
2,87	36,90561	0,04786667
2,88	37,05502	0,048
2,89	37,1933	0,0482
2,9	37,33158	0,04836667
2,91	37,47145	0,04853334
2,92	37,61451	0,04866667
2,93	37,76233	0,04883333
2,94	37,90855	0,049
2,95	38,06114	0,0492
2,96	38,21532	0,04933333
2,97	38,36791	0,04953333
2,98	38,51414	0,04966667
2,99	38,65878	0,04986667
3	38,80024	0,05003333
3,01	38,93534	0,0502
3,02	39,07998	0,05036667
3,03	39,22939	0,05053334
3,04	39,37085	0,05066667
3,05	39,49642	0,05086667
3,06	39,61881	0,05103333
3,07	39,75232	0,05116667
3,08	39,8922	0,05133333
3,09	40,04002	0,05153333
