Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
4-1.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	4-1.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00459	0,00459

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,1509984	0
0,01	0,1192093	6,67E-05
0,02	0,1017253	0,000233333
0,03	0,1128515	0,000466667
0,04	0,1319249	0,000666667
0,05	0,149409	0,000833333
0,06	0,1621246	0,001
0,07	0,1621246	0,001166667
0,08	0,149409	0,001333333
0,09	0,1430511	0,0015
0,1	0,1541774	0,001666667
0,11	0,1764297	0,001833333
0,12	0,1859665	0,002
0,13	0,1780192	0,002166667
0,14	0,1700719	0,002366667
0,15	0,1780192	0,0025
0,16	0,1955032	0,002666667
0,17	0,2145767	0,002833333
0,18	0,222524	0,003
0,19	0,1970927	0,003166667
0,2	0,1589457	0,003333333
0,21	0,1398722	0,0035
0,22	0,1541774	0,003633333
0,23	0,1811981	0,0038
0,24	0,2034505	0,004
0,25	0,2304713	0,004166667
0,26	0,2686183	0,004333334
0,27	0,3147125	0,0045
0,28	0,3608068	0,004666667
0,29	0,4227956	0,004833333
0,3	0,4990896	0,005
0,31	0,5642573	0,005166667
0,32	0,6135305	0,005333333
0,33	0,6786982	0,005533333
0,34	0,7708867	0,005666667
0,35	0,8662542	0,005866667
0,36	0,9393692	0,006
0,37	1,010895	0,0062
0,38	1,095136	0,006333333
0,39	1,198451	0,0065
0,4	1,298586	0,006666667
0,41	1,378059	0,006866667
0,42	1,440048	0,007
0,43	1,508395	0,007166667
0,44	1,602173	0,007333334
0,45	1,722972	0,0075
0,46	1,84536	0,007666667
0,47	1,948675	0,007866667
0,48	2,032916	0,008
0,49	2,098083	0,008166667
0,5	2,156893	0,008333334
0,51	2,222061	0,0085
0,52	2,304713	0,0087
0,53	2,393723	0,008833334
0,54	2,481143	0,009000001
0,55	2,554258	0,009166666
0,56	2,619426	0,009333333
0,57	2,698898	0,009533334
0,58	2,795855	0,009666666
0,59	2,905528	0,009833333
0,6	2,997716	0,01003333
0,61	3,07401	0,01016667
0,62	3,151894	0,01033333
0,63	3,25044	0,01053333
0,64	3,353755	0,01066667
0,65	3,437996	0,01086667
0,66	3,511111	0,011
0,67	3,587405	0,0112
0,68	3,682772	0,01133333
0,69	3,795624	0,0115
0,7	3,921191	0,0117
0,71	4,032453	0,01186667
0,72	4,115105	0,012
0,73	4,177094	0,0122
0,74	4,231135	0,01233333
0,75	4,299482	0,01253333
0,76	4,410744	0,01266667
0,77	4,5681	0,01286667
0,78	4,704793	0,01303333
0,79	4,755656	0,0132
0,8	4,755656	0,01333333
0,81	4,800161	0,01353333
0,82	4,913012	0,0137
0,83	5,049706	0,01386667
0,84	5,145073	0,014
0,85	5,192757	0,0142
0,86	5,24044	0,01433333
0,87	5,345345	0,01453333
0,88	5,502701	0,01466667
0,89	5,639394	0,01483333
0,9	5,70933	0,015
0,91	5,747477	0,0152
0,92	5,819003	0,01533333
0,93	5,941391	0,0155
0,94	6,071726	0,01566667
0,95	6,171862	0,01583333
0,96	6,23703	0,016
0,97	6,29743	0,01616667
0,98	6,392797	0,01633333
0,99	6,516775	0,01653333
1	6,628036	0,01666667
1,01	6,693204	0,01683333
1,02	6,745656	0,017
1,03	6,829897	0,01716667
1,04	6,949107	0,01733333
1,05	7,074674	0,01753333
1,06	7,171631	0,0177
1,07	7,246336	0,01786667
1,08	7,297198	0,018
1,09	7,354418	0,01816667
1,1	7,430712	0,01833333
1,11	7,52608	0,01853333
1,12	7,623037	0,01866667
1,13	7,715225	0,01883333
1,14	7,810593	0,019
1,15	7,920265	0,0192
1,16	8,020401	0,01933333
1,17	8,099874	0,01953333
1,18	8,16981	0,01966667
1,19	8,261998	0,01986667
1,2	8,376439	0,02
1,21	8,498828	0,02016667
1,22	8,613269	0,02033333
1,23	8,718173	0,02053333
1,24	8,811951	0,02066667
1,25	8,886655	0,02086667
1,26	8,955002	0,02103333
1,27	9,028117	0,0212
1,28	9,102821	0,02133333
1,29	9,177526	0,0215
1,3	9,260178	0,0217
1,31	9,349187	0,02186667
1,32	9,441376	0,022
1,33	9,539922	0,02216667
1,34	9,646416	0,02236667
1,35	9,757678	0,02253333
1,36	9,862582	0,02266667
1,37	9,945233	0,02286667
1,38	10,00722	0,023
1,39	10,07557	0,02316667
1,4	10,17094	0,02333333
1,41	10,28379	0,0235
1,42	10,39664	0,02366667
1,43	10,49042	0,02383333
1,44	10,56671	0,024
1,45	10,64618	0,0242
1,46	10,73519	0,02433333
1,47	10,83692	0,0245
1,48	10,93705	0,02466667
1,49	11,02924	0,02483333
1,5	11,10872	0,025
1,51	11,17547	0,0252
1,52	11,25177	0,02533333
1,53	11,33919	0,02553333
1,54	11,43138	0,02566667
1,55	11,51562	0,02586667
1,56	11,60622	0,026
1,57	11,69999	0,02616667
1,58	11,79536	0,02633333
1,59	11,87484	0,02653333
1,6	11,94795	0,02666667
1,61	12,02901	0,02683333
1,62	12,12756	0,027
1,63	12,23882	0,0272
1,64	12,35008	0,02733333
1,65	12,4534	0,02753333
1,66	12,54876	0,02766667
1,67	12,64095	0,02783333
1,68	12,74109	0,028
1,69	12,84758	0,02816667
1,7	12,94613	0,02836667
1,71	13,03196	0,02853333
1,72	13,12733	0,02866667
1,73	13,23382	0,02883333
1,74	13,32601	0,029
1,75	13,39436	0,02916667
1,76	13,45317	0,02933333
1,77	13,51674	0,0295
1,78	13,59463	0,02966667
1,79	13,68999	0,02983333
1,8	13,79331	0,03
1,81	13,8855	0,03016667
1,82	13,96974	0,03033333
1,83	14,04921	0,0305
1,84	14,13027	0,0307
1,85	14,21769	0,03083333
1,86	14,31624	0,03103333
1,87	14,41002	0,03116667
1,88	14,50856	0,03133333
1,89	14,60393	0,03153333
1,9	14,70407	0,03166667
1,91	14,80738	0,03186667
1,92	14,9107	0,032
1,93	15,01083	0,03216667
1,94	15,10143	0,03233333
1,95	15,17773	0,0325
1,96	15,25243	0,03266667
1,97	15,33667	0,03286667
1,98	15,43204	0,03303333
1,99	15,53376	0,03316667
2	15,64185	0,03333334
2,01	15,75311	0,0335
2,02	15,85166	0,03366667
2,03	15,92795	0,03386667
2,04	15,99789	0,034
2,05	16,07895	0,03416667
2,06	16,16955	0,03436667
2,07	16,24266	0,03453333
2,08	16,30306	0,03466667
2,09	16,40638	0,03483333
2,1	16,60347	0,035
2,11	16,82758	0,03516667
2,12	16,90547	0,03533334
2,13	16,80056	0,0355
2,14	16,68612	0,03566667
2,15	16,76401	0,03583333
2,16	17,04216	0,036
2,17	17,32985	0,03616667
2,18	17,45224	0,03633333
2,19	17,41409	0,03653333
2,2	17,37595	0,03666667
2,21	17,46019	0,03683333
2,22	17,63185	0,037
2,23	17,76218	0,0372
2,24	17,8051	0,03733333
2,25	17,84643	0,03753334
2,26	17,95292	0,0377
2,27	18,0912	0,03786667
2,28	18,20723	0,038
2,29	18,3169	0,03816667
2,3	18,43929	0,03836667
2,31	18,54261	0,03853333
2,32	18,58076	0,03866667
2,33	18,5887	0,03886667
2,34	18,65069	0,039
2,35	18,7842	0,03916667
2,36	18,92249	0,03936667
2,37	19,01785	0,03953333
2,38	19,07508	0,0397
2,39	19,12594	0,03983333
2,4	19,20541	0,04
2,41	19,31349	0,0402
2,42	19,41522	0,04033333
2,43	19,47403	0,04053333
2,44	19,51536	0,0407
2,45	19,60436	0,04083334
2,46	19,7649	0,04103334
2,47	19,94769	0,0412
2,48	20,07166	0,04133333
2,49	20,12094	0,04153333
2,5	20,15114	0,04166667
2,51	20,21313	0,04183333
2,52	20,31962	0,042
2,53	20,44519	0,0422
2,54	20,55645	0,04236667
2,55	20,64546	0,04253333
2,56	20,73606	0,04266667
2,57	20,84414	0,04283333
2,58	20,97448	0,043
2,59	21,0921	0,0432
2,6	21,14932	0,04333333
2,61	21,15885	0,0435
2,62	21,17634	0,04366667
2,63	21,24151	0,04383333
2,64	21,36072	0,044
2,65	21,52125	0,04416667
2,66	21,67384	0,04436667
2,67	21,77874	0,04453333
2,68	21,83437	0,04466667
2,69	21,85822	0,04486667
2,7	21,88841	0,045
2,71	21,93769	0,0452
2,72	22,0267	0,04533333
2,73	22,16498	0,0455
2,74	22,33982	0,04566667
2,75	22,51625	0,04586667
2,76	22,64341	0,046
2,77	22,70381	0,04616667
2,78	22,73401	0,04636667
2,79	22,77374	0,0465
2,8	22,85639	0,04666667
2,81	22,96925	0,04686667
2,82	23,09163	0,047
2,83	23,20608	0,0472
2,84	23,30144	0,04733333
2,85	23,37297	0,04753333
2,86	23,4286	0,04766667
2,87	23,50012	0,04783333
2,88	23,59549	0,048
2,89	23,69245	0,04816667
2,9	23,78464	0,04833334
2,91	23,87842	0,04853334
2,92	23,9706	0,04866667
2,93	24,05485	0,04883333
2,94	24,13114	0,049
2,95	24,20584	0,0492
2,96	24,28214	0,04933333
2,97	24,36479	0,0495
2,98	24,4681	0,04966667
2,99	24,60639	0,04986667
3	24,75897	0,05
3,01	24,87501	0,05016667
3,02	24,93858	0,05033333
3,03	24,9815	0,05053334
3,04	25,04349	0,05066667
3,05	25,15316	0,05083333
3,06	25,29144	0,051
3,07	25,42655	0,0512
3,08	25,53622	0,05133333
3,09	25,6141	0,05153333
3,1	25,67927	0,0517
