Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
3-8.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	3-8.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00503	0,00503

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,7009506	0
0,01	0,7247925	6,666667E-05
0,02	0,7359187	0,0002333333
0,03	0,7216136	0,0004666667
0,04	0,6930034	0,0006666667
0,05	0,6628036	0,0008333334
0,06	0,6596248	0,001
0,07	0,6898244	0,001166667
0,08	0,7311503	0,001333333
0,09	0,7549922	0,0015
0,1	0,7549922	0,0017
0,11	0,7518132	0,001866667
0,12	0,7549922	0,002
0,13	0,7597606	0,002166667
0,14	0,7629395	0,002333333
0,15	0,7549922	0,0025
0,16	0,7279714	0,002666667
0,17	0,7025401	0,002866667
0,18	0,7168452	0,003
0,19	0,7518132	0,0032
0,2	0,7708867	0,003333333
0,21	0,7661183	0,0035
0,22	0,7406871	0,003666667
0,23	0,7168452	0,003833333
0,24	0,7200241	0,004
0,25	0,7470449	0,004166667
0,26	0,7820129	0,004333334
0,27	0,8058548	0,0045
0,28	0,834465	0,004666667
0,29	0,8885066	0,004833333
0,3	0,983874	0,005
0,31	1,095136	0,0052
0,32	1,192093	0,005333333
0,33	1,255671	0,005533333
0,34	1,312892	0,0057
0,35	1,393954	0,005833333
0,36	1,500448	0,006033333
0,37	1,61171	0,0062
0,38	1,715024	0,006333333
0,39	1,792908	0,0065
0,4	1,861254	0,006666667
0,41	1,945496	0,006866667
0,42	2,037684	0,007
0,43	2,106031	0,0072
0,44	2,155304	0,007333334
0,45	2,209346	0,007533333
0,46	2,293587	0,007666667
0,47	2,40008	0,007866667
0,48	2,503395	0,008
0,49	2,589226	0,0082
0,5	2,657573	0,008333334
0,51	2,729098	0,008533333
0,52	2,818108	0,008666667
0,53	2,926191	0,008866667
0,54	3,032684	0,009033334
0,55	3,123283	0,009166666
0,56	3,188451	0,009333333
0,57	3,25044	0,009533334
0,58	3,331502	0,009666666
0,59	3,431638	0,009866667
0,6	3,530185	0,01
0,61	3,625552	0,0102
0,62	3,725688	0,01036667
0,63	3,829002	0,0105
0,64	3,938675	0,0107
0,65	4,049937	0,01086667
0,66	4,15802	0,011
0,67	4,253387	0,01116667
0,68	4,337629	0,01133333
0,69	4,405975	0,01153333
0,7	4,464785	0,0117
0,71	4,536311	0,01186667
0,72	4,631678	0,012
0,73	4,731814	0,0122
0,74	4,811287	0,01233333
0,75	4,866918	0,01253333
0,76	4,933675	0,01266667
0,77	5,030632	0,01286667
0,78	5,141894	0,01303333
0,79	5,24044	0,0132
0,8	5,313555	0,01333333
0,81	5,378723	0,0135
0,82	5,466143	0,0137
0,83	5,580584	0,01386667
0,84	5,696615	0,014
0,85	5,788803	0,01416667
0,86	5,85715	0,01436667
0,87	5,925497	0,01453333
0,88	6,014506	0,01466667
0,89	6,124178	0,01486667
0,9	6,229083	0,01503333
0,91	6,316503	0,01516667
0,92	6,400744	0,01536667
0,93	6,489754	0,0155
0,94	6,585121	0,01566667
0,95	6,680489	0,01586667
0,96	6,761551	0,016
0,97	6,833076	0,0162
0,98	6,898244	0,01636667
0,99	6,979307	0,0165
1	7,082621	0,0167
1,01	7,184347	0,01686667
1,02	7,268588	0,01703333
1,03	7,343292	0,0172
1,04	7,430712	0,01736667
1,05	7,529259	0,0175
1,06	7,615089	0,01766667
1,07	7,689794	0,01786667
1,08	7,751783	0,01803333
1,09	7,824898	0,0182
1,1	7,90596	0,01836667
1,11	7,996559	0,01853333
1,12	8,096695	0,0187
1,13	8,203189	0,01886667
1,14	8,300145	0,01903333
1,15	8,384387	0,0192
1,16	8,455913	0,01933333
1,17	8,535385	0,0195
1,18	8,624394	0,0197
1,19	8,719762	0,01986667
1,2	8,807182	0,02
1,21	8,891423	0,0202
1,22	8,98838	0,02036667
1,23	9,106	0,02053333
1,24	9,225209	0,02066667
1,25	9,328525	0,02086667
1,26	9,404819	0,02103333
1,27	9,474754	0,0212
1,28	9,562175	0,02133333
1,29	9,662311	0,02153333
1,3	9,757678	0,0217
1,31	9,826024	0,02186667
1,32	9,883245	0,022
1,33	9,951591	0,0222
1,34	10,04855	0,02233333
1,35	10,17094	0,02253333
1,36	10,29332	0,02266667
1,37	10,39664	0,02286667
1,38	10,48088	0,02303333
1,39	10,554	0,0232
1,4	10,62711	0,02333333
1,41	10,71453	0,02353333
1,42	10,82102	0,0237
1,43	10,92434	0,02386667
1,44	11,01335	0,024
1,45	11,08487	0,0242
1,46	11,15799	0,02436667
1,47	11,23587	0,02453333
1,48	11,32329	0,02466667
1,49	11,40594	0,02486667
1,5	11,47906	0,02503333
1,51	11,56489	0,0252
1,52	11,67933	0,02533333
1,53	11,8049	0,02553333
1,54	11,91298	0,0257
1,55	11,98928	0,02586667
1,56	12,05444	0,026
1,57	12,14186	0,02616667
1,58	12,26425	0,02636667
1,59	12,38028	0,02653333
1,6	12,45658	0,02666667
1,61	12,4979	0,02686667
1,62	12,53923	0,02703333
1,63	12,60122	0,0272
1,64	12,68546	0,02733333
1,65	12,77765	0,02753333
1,66	12,86189	0,0277
1,67	12,935	0,02786667
1,68	13,00971	0,028
1,69	13,1019	0,0282
1,7	13,21634	0,02833333
1,71	13,33237	0,02853333
1,72	13,44045	0,02866667
1,73	13,55012	0,02883333
1,74	13,66933	0,029
1,75	13,81079	0,0292
1,76	13,9602	0,02936667
1,77	14,0969	0,02953333
1,78	14,20498	0,0297
1,79	14,28127	0,02986667
1,8	14,33055	0,03
1,81	14,36075	0,0302
1,82	14,38936	0,03036667
1,83	14,43386	0,0305
1,84	14,48472	0,03066667
1,85	14,5483	0,03083333
1,86	14,61824	0,03103333
1,87	14,71043	0,0312
1,88	14,8201	0,03133333
1,89	14,92818	0,0315
1,9	15,01242	0,03166667
1,91	15,08077	0,03186667
1,92	15,14753	0,032
1,93	15,23495	0,0322
1,94	15,35416	0,03236667
1,95	15,47654	0,03253333
1,96	15,57827	0,03266667
1,97	15,65139	0,03283333
1,98	15,7245	0,033
1,99	15,82305	0,0332
2	15,93908	0,03333334
2,01	16,06941	0,03353333
2,02	16,2077	0,0337
2,03	16,33008	0,03386667
2,04	16,43658	0,034
2,05	16,53989	0,0342
2,06	16,65433	0,03436667
2,07	16,76559	0,03453333
2,08	16,8546	0,03466667
2,09	16,91818	0,03486667
2,1	16,96745	0,03503333
2,11	17,00719	0,0352
2,12	17,0517	0,03536667
2,13	17,10574	0,03553334
2,14	17,18362	0,03566667
2,15	17,28694	0,03586667
2,16	17,39979	0,036
2,17	17,49357	0,0362
2,18	17,56986	0,03636667
2,19	17,64297	0,03653333
2,2	17,72563	0,03666667
2,21	17,81464	0,03686667
2,22	17,91	0,037
2,23	18,00855	0,0372
2,24	18,10869	0,03736667
2,25	18,21518	0,03753334
2,26	18,31849	0,0377
2,27	18,42181	0,03786667
2,28	18,53307	0,03803333
2,29	18,66341	0,0382
2,3	18,80169	0,03833333
2,31	18,9209	0,03853333
2,32	19,00832	0,03866667
2,33	19,06236	0,03886667
2,34	19,11481	0,03903333
2,35	19,1768	0,0392
2,36	19,24515	0,03933333
2,37	19,30714	0,03953333
2,38	19,36754	0,0397
2,39	19,4486	0,03986667
2,4	19,55668	0,04003333
2,41	19,67112	0,04016667
2,42	19,76649	0,04033333
2,43	19,84596	0,04053333
2,44	19,9302	0,0407
2,45	20,01921	0,04083334
2,46	20,09869	0,041
2,47	20,16703	0,0412
2,48	20,24015	0,04136667
2,49	20,33552	0,0415
2,5	20,43565	0,04166667
2,51	20,53102	0,04186667
2,52	20,62321	0,042
2,53	20,7297	0,0422
2,54	20,8505	0,04236667
2,55	20,97607	0,04253333
2,56	21,09369	0,04266667
2,57	21,197	0,04283333
2,58	21,28283	0,043
2,59	21,3623	0,0432
2,6	21,44655	0,04333333
2,61	21,52761	0,04353333
2,62	21,58483	0,0437
2,63	21,62933	0,04383333
2,64	21,69927	0,044
2,65	21,81689	0,04416667
2,66	21,94881	0,04436667
2,67	22,05054	0,04453333
2,68	22,11253	0,04466667
2,69	22,17452	0,04486667
2,7	22,26194	0,045
2,71	22,36048	0,0452
2,72	22,45744	0,04536667
2,73	22,55281	0,0455
2,74	22,64818	0,04566667
2,75	22,74513	0,04583333
2,76	22,8405	0,04603333
2,77	22,92792	0,0462
2,78	23,02329	0,04636667
2,79	23,12342	0,0465
2,8	23,21084	0,04666667
2,81	23,27919	0,04686667
2,82	23,34595	0,04703333
2,83	23,42542	0,0472
2,84	23,52556	0,04733333
2,85	23,63682	0,0475
2,86	23,74649	0,04766667
2,87	23,85298	0,04786667
2,88	23,94676	0,048
2,89	24,01829	0,0482
2,9	24,06915	0,04836667
2,91	24,1375	0,04853334
2,92	24,25194	0,04866667
2,93	24,40453	0,04886667
2,94	24,53168	0,04903333
2,95	24,5889	0,0492
2,96	24,6048	0,04933333
2,97	24,65407	0,0495
2,98	24,76215	0,04966667
2,99	24,89567	0,04983333
3	25,00693	0,05
3,01	25,10071	0,0502
3,02	25,19449	0,05036667
3,03	25,30893	0,05053334
3,04	25,42019	0,05066667
3,05	25,50443	0,05083333
3,06	25,56801	0,05103333
3,07	25,63477	0,0512
3,08	25,73808	0,05136667
3,09	25,87	0,0515
3,1	25,98921	0,0517
3,11	26,07028	0,05183334
