Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
7-2.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	7-2.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00499	0,00499

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,3274282	0
0,01	0,3194809	0,0001
0,02	0,2924601	0,0002333333
0,03	0,2686183	0,0004666667
0,04	0,2765656	0,0006666667
0,05	0,3083547	0,0008333334
0,06	0,333786	0,001
0,07	0,3226598	0,001166667
0,08	0,295639	0,001333333
0,09	0,2686183	0,001533333
0,1	0,2622604	0,001666667
0,11	0,2765656	0,001833333
0,12	0,298818	0,002
0,13	0,3115336	0,0022
0,14	0,298818	0,002333333
0,15	0,2765656	0,0025
0,16	0,2813339	0,002666667
0,17	0,3067652	0,002833333
0,18	0,3147125	0,003
0,19	0,298818	0,003166667
0,2	0,2733866	0,003333333
0,21	0,2717972	0,0035
0,22	0,3004074	0,003666667
0,23	0,3496806	0,003833333
0,24	0,4021327	0,004
0,25	0,4498164	0,004166667
0,26	0,5292892	0,004333334
0,27	0,6373723	0,0045
0,28	0,7661183	0,004666667
0,29	0,8853276	0,004833333
0,3	1,004537	0,005
0,31	1,126925	0,005166667
0,32	1,263618	0,005333333
0,33	1,401901	0,0055
0,34	1,540184	0,005666667
0,35	1,676877	0,005833333
0,36	1,811981	0,006
0,37	1,959801	0,006166667
0,38	2,110799	0,006333333
0,39	2,263387	0,0065
0,4	2,404849	0,006666667
0,41	2,535184	0,006833334
0,42	2,657573	0,007
0,43	2,787908	0,007166667
0,44	2,937317	0,007333334
0,45	3,101031	0,0075
0,46	3,263156	0,007666667
0,47	3,407796	0,007833334
0,48	3,538132	0,008
0,49	3,671646	0,008166667
0,5	3,80675	0,008333334
0,51	3,943443	0,0085
0,52	4,084905	0,008666667
0,53	4,223188	0,008833334
0,54	4,359881	0,009000001
0,55	4,490217	0,009166666
0,56	4,62532	0,009333333
0,57	4,782677	0,0095
0,58	4,951159	0,009666666
0,59	5,103747	0,009833333
0,6	5,24044	0,01
0,61	5,375544	0,0102
0,62	5,517006	0,01033333
0,63	5,658468	0,0105
0,64	5,799929	0,01066667
0,65	5,941391	0,01083333
0,66	6,082853	0,011
0,67	6,227493	0,01116667
0,68	6,376902	0,01133333
0,69	6,53108	0,0115
0,7	6,694794	0,0117
0,71	6,841024	0,01183333
0,72	6,963412	0,012
0,73	7,082621	0,01216667
0,74	7,219315	0,01233333
0,75	7,365545	0,0125
0,76	7,513364	0,01266667
0,77	7,656415	0,01283333
0,78	7,809003	0,013
0,79	7,961591	0,0132
0,8	8,107821	0,01333333
0,81	8,25723	0,01353333
0,82	8,417766	0,01366667
0,83	8,581479	0,01383333
0,84	8,735657	0,014
0,85	8,87394	0,01416667
0,86	9,010633	0,01433333
0,87	9,160042	0,0145
0,88	9,309451	0,01466667
0,89	9,462039	0,01483333
0,9	9,60509	0,015
0,91	9,746552	0,01516667
0,92	9,888013	0,01533333
0,93	10,04537	0,01553333
0,94	10,20908	0,01566667
0,95	10,36485	0,01583333
0,96	10,50313	0,016
0,97	10,63824	0,0162
0,98	10,7797	0,01633333
0,99	10,92116	0,0165
1	11,0658	0,01666667
1,01	11,21521	0,01686667
1,02	11,37574	0,017
1,03	11,54105	0,01716667
1,04	11,70476	0,01736667
1,05	11,84781	0,0175
1,06	11,9702	0,01766667
1,07	12,08941	0,01786667
1,08	12,23405	0,018
1,09	12,40889	0,01816667
1,1	12,58691	0,01833333
1,11	12,74268	0,0185
1,12	12,87778	0,0187
1,13	13,01765	0,01883333
1,14	13,17183	0,019
1,15	13,34667	0,0192
1,16	13,51674	0,01933333
1,17	13,67728	0,01953333
1,18	13,8251	0,01966667
1,19	13,96815	0,01986667
1,2	14,10961	0,02003333
1,21	14,25425	0,02016667
1,22	14,39254	0,02033333
1,23	14,52287	0,0205
1,24	14,65321	0,0207
1,25	14,78672	0,02083333
1,26	14,93295	0,021
1,27	15,0919	0,02116667
1,28	15,2572	0,02133333
1,29	15,41774	0,0215
1,3	15,56079	0,02166667
1,31	15,70543	0,02186667
1,32	15,85801	0,022
1,33	16,0106	0,02216667
1,34	16,15206	0,02233333
1,35	16,29035	0,02253333
1,36	16,43181	0,02266667
1,37	16,58599	0,02283333
1,38	16,75447	0,023
1,39	16,915	0,02316667
1,4	17,05329	0,02333333
1,41	17,1868	0,02353333
1,42	17,33303	0,02366667
1,43	17,49198	0,02386667
1,44	17,64615	0,024
1,45	17,79556	0,02416667
1,46	17,94338	0,02433333
1,47	18,09438	0,0245
1,48	18,25015	0,02466667
1,49	18,39956	0,02483333
1,5	18,53466	0,025
1,51	18,67612	0,02516667
1,52	18,82553	0,02536667
1,53	18,97494	0,0255
1,54	19,11481	0,02566667
1,55	19,24992	0,02583333
1,56	19,39774	0,026
1,57	19,54714	0,0262
1,58	19,69337	0,02633333
1,59	19,83961	0,0265
1,6	20,00014	0,02666667
1,61	20,16068	0,02683333
1,62	20,30691	0,027
1,63	20,4436	0,02716667
1,64	20,57711	0,02736667
1,65	20,71222	0,02753333
1,66	20,8505	0,02766667
1,67	20,99514	0,02783333
1,68	21,14773	0,02803333
1,69	21,3019	0,02816667
1,7	21,46244	0,02833333
1,71	21,61821	0,0285
1,72	21,76444	0,0287
1,73	21,90272	0,02886667
1,74	22,04259	0,029
1,75	22,1777	0,0292
1,76	22,32234	0,02933333
1,77	22,47651	0,0295
1,78	22,63228	0,02966667
1,79	22,76739	0,02983333
1,8	22,89772	0,03
1,81	23,04713	0,03016667
1,82	23,21084	0,03033333
1,83	23,3682	0,03053333
1,84	23,50966	0,03066667
1,85	23,65112	0,03083333
1,86	23,80371	0,031
1,87	23,96902	0,03116667
1,88	24,13273	0,03133333
1,89	24,27578	0,03153333
1,9	24,40929	0,03166667
1,91	24,55393	0,03183333
1,92	24,71447	0,032
1,93	24,87659	0,0322
1,94	25,03395	0,03233333
1,95	25,18177	0,03253333
1,96	25,32323	0,03266667
1,97	25,46469	0,03283333
1,98	25,60774	0,033
1,99	25,76351	0,03316667
2	25,92564	0,03336667
2,01	26,0814	0,0335
2,02	26,21492	0,03366667
2,03	26,35002	0,03383333
2,04	26,51373	0,03403333
2,05	26,69334	0,03416667
2,06	26,85547	0,03433333
2,07	26,98421	0,03453333
2,08	27,09548	0,03466667
2,09	27,21945	0,03483333
2,1	27,37045	0,035
2,11	27,52145	0,03516667
2,12	27,66609	0,03533334
2,13	27,79643	0,0355
2,14	27,93312	0,03566667
2,15	28,08412	0,03586667
2,16	28,23353	0,036
2,17	28,36704	0,0362
2,18	28,49579	0,03633333
2,19	28,63089	0,0365
2,2	28,78348	0,0367
2,21	28,94878	0,03683333
2,22	29,12045	0,037
2,23	29,28098	0,03716667
2,24	29,42721	0,03733333
2,25	29,57503	0,0375
2,26	29,73715	0,03766667
2,27	29,90246	0,03783333
2,28	30,05028	0,038
2,29	30,17426	0,03816667
2,3	30,29982	0,03833333
2,31	30,43016	0,0385
2,32	30,57162	0,03866667
2,33	30,72739	0,03886667
2,34	30,88474	0,039
2,35	31,03733	0,03916667
2,36	31,17561	0,03933333
2,37	31,32184	0,03953333
2,38	31,48556	0,03966667
2,39	31,65404	0,03983333
2,4	31,81616	0,04
2,41	31,96716	0,04016667
2,42	32,11021	0,04033333
2,43	32,2628	0,0405
2,44	32,42334	0,04066667
2,45	32,58387	0,04083334
2,46	32,72216	0,041
2,47	32,84772	0,04116667
2,48	32,97965	0,04133333
2,49	33,13224	0,04153333
2,5	33,28482	0,04166667
2,51	33,43105	0,04186667
2,52	33,57093	0,042
2,53	33,70285	0,0422
2,54	33,82842	0,04233333
2,55	33,95557	0,04253333
2,56	34,09703	0,04266667
2,57	34,24962	0,04286667
2,58	34,40698	0,043
2,59	34,55957	0,04316667
2,6	34,69785	0,04333333
2,61	34,83931	0,0435
2,62	34,99667	0,04366667
2,63	35,16515	0,04383333
2,64	35,32569	0,044
2,65	35,47033	0,0442
2,66	35,61179	0,04433334
2,67	35,75643	0,0445
2,68	35,90266	0,0447
2,69	36,06002	0,04486667
2,7	36,21578	0,045
2,71	36,35406	0,04516667
2,72	36,48758	0,04533333
2,73	36,63063	0,0455
2,74	36,78004	0,04566667
2,75	36,9215	0,04583333
2,76	37,05502	0,04603333
2,77	37,18853	0,04616667
2,78	37,33794	0,04633334
2,79	37,50324	0,0465
2,8	37,67014	0,04666667
2,81	37,82749	0,04683333
2,82	37,97849	0,047
2,83	38,12949	0,04716667
2,84	38,28049	0,04736667
2,85	38,42831	0,0475
2,86	38,57454	0,0477
2,87	38,716	0,04783333
2,88	38,85746	0,048
2,89	39,01005	0,0482
2,9	39,17217	0,04833334
2,91	39,33271	0,0485
2,92	39,47099	0,0487
2,93	39,60769	0,04883333
2,94	39,75709	0,049
2,95	39,90968	0,04916667
2,96	40,05273	0,04933333
2,97	40,18943	0,04953333
2,98	40,32771	0,04966667
2,99	40,46917	0,04983333
3	40,60745	0,05
3,01	40,75209	0,05016667
3,02	40,89832	0,05033333
3,03	41,04614	0,0505
3,04	41,20032	0,05066667
3,05	41,36562	0,05083333
3,06	41,53411	0,051
3,07	41,69464	0,05116667
3,08	41,84405	0,05133333
3,09	41,98551	0,0515
3,1	42,13015	0,05166667
3,11	42,28751	0,05183334
3,12	42,46235	0,052
