Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
3-4.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	3-4.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00600	0,00600

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,3369649	0
0,01	0,3687541	0,0001
0,02	0,3925959	0,0002333333
0,03	0,4021327	0,0004666667
0,04	0,3957748	0,0006666667
0,05	0,3957748	0,0008333334
0,06	0,41008	0,001
0,07	0,4307429	0,001166667
0,08	0,4402796	0,001366667
0,09	0,4259745	0,001533333
0,1	0,3989538	0,0017
0,11	0,3798803	0,001833333
0,12	0,3767014	0,002033333
0,13	0,3767014	0,0022
0,14	0,3560384	0,002366667
0,15	0,3115336	0,002533333
0,16	0,2765656	0,0027
0,17	0,260671	0,002866667
0,18	0,2765656	0,003033333
0,19	0,3035863	0,0032
0,2	0,3194809	0,003366667
0,21	0,3226598	0,003533333
0,22	0,3306071	0,003666667
0,23	0,3528595	0,003833333
0,24	0,3846487	0,004
0,25	0,4148483	0,004166667
0,26	0,4371007	0,004333334
0,27	0,4561742	0,0045
0,28	0,4879633	0,004666667
0,29	0,5404155	0,004833333
0,3	0,6024043	0,005033333
0,31	0,6786982	0,0052
0,32	0,7549922	0,005366667
0,33	0,816981	0,005533333
0,34	0,8710225	0,0057
0,35	0,9425481	0,005866667
0,36	1,015663	0,006033333
0,37	1,072884	0,0062
0,38	1,115799	0,006366667
0,39	1,161893	0,0065
0,4	1,23024	0,0067
0,41	1,320839	0,006866667
0,42	1,417796	0,007033333
0,43	1,509984	0,0072
0,44	1,597404	0,007366667
0,45	1,689593	0,007533333
0,46	1,791318	0,0077
0,47	1,896222	0,007833334
0,48	1,986822	0,008033333
0,49	2,053579	0,0082
0,5	2,121925	0,008366667
0,51	2,212524	0,0085
0,52	2,328555	0,0087
0,53	2,43187	0,008866667
0,54	2,504985	0,009033334
0,55	2,570152	0,0092
0,56	2,649625	0,009366667
0,57	2,749761	0,009533334
0,58	2,853076	0,0097
0,59	2,951622	0,009866667
0,6	3,039042	0,01003333
0,61	3,112157	0,0102
0,62	3,193219	0,01036667
0,63	3,288587	0,0105
0,64	3,395081	0,0107
0,65	3,48409	0,01086667
0,66	3,54449	0,01103333
0,67	3,584226	0,01116667
0,68	3,647804	0,01133333
0,69	3,732045	0,01153333
0,7	3,821055	0,0117
0,71	3,900528	0,01186667
0,72	3,973643	0,01203333
0,73	4,049937	0,0122
0,74	4,138947	0,01236667
0,75	4,237493	0,0125
0,76	4,33286	0,0127
0,77	4,426638	0,01286667
0,78	4,525185	0,01303333
0,79	4,62532	0,0132
0,8	4,728635	0,01336667
0,81	4,83195	0,01353333
0,82	4,933675	0,0137
0,83	5,030632	0,01386667
0,84	5,129179	0,01403333
0,85	5,213419	0,0142
0,86	5,286535	0,01436667
0,87	5,351702	0,01453333
0,88	5,413691	0,0147
0,89	5,482038	0,01486667
0,9	5,561511	0,01503333
0,91	5,655289	0,0152
0,92	5,753835	0,01536667
0,93	5,853971	0,01553333
0,94	5,949338	0,0157
0,95	6,039937	0,01586667
0,96	6,114642	0,01603333
0,97	6,190936	0,0162
0,98	6,270409	0,01636667
0,99	6,346703	0,0165
1	6,427765	0,0167
1,01	6,53108	0,01686667
1,02	6,642342	0,01703333
1,03	6,73453	0,0172
1,04	6,799698	0,01736667
1,05	6,868044	0,01753333
1,06	6,955465	0,0177
1,07	7,055601	0,01786667
1,08	7,1462	0,01803333
1,09	7,224083	0,0182
1,1	7,303556	0,01836667
1,11	7,395744	0,01853333
1,12	7,49588	0,0187
1,13	7,588068	0,01886667
1,14	7,675489	0,01903333
1,15	7,778803	0,0192
1,16	7,893244	0,01936667
1,17	8,001328	0,01953333
1,18	8,0808	0,0197
1,19	8,130074	0,01986667
1,2	8,179347	0,02003333
1,21	8,249283	0,0202
1,22	8,336703	0,02036667
1,23	8,409818	0,0205
1,24	8,474986	0,0207
1,25	8,55128	0,02086667
1,26	8,662541	0,02103333
1,27	8,800824	0,0212
1,28	8,93116	0,02136667
1,29	9,01858	0,02153333
1,3	9,072621	0,0217
1,31	9,126663	0,02186667
1,32	9,222031	0,02203333
1,33	9,358724	0,0222
1,34	9,497006	0,02236667
1,35	9,589195	0,02253333
1,36	9,632111	0,0227
1,37	9,676616	0,02286667
1,38	9,754498	0,02303333
1,39	9,845098	0,0232
1,4	9,913445	0,02336667
1,41	9,967486	0,02353333
1,42	10,03265	0,0237
1,43	10,13915	0,02386667
1,44	10,26948	0,02403333
1,45	10,39187	0,0242
1,46	10,4777	0,02436667
1,47	10,54287	0,0245
1,48	10,62234	0,02466667
1,49	10,72566	0,02486667
1,5	10,83692	0,02503333
1,51	10,92434	0,0252
1,52	10,97838	0,02536667
1,53	11,0356	0,02553333
1,54	11,12461	0,0257
1,55	11,247	0,02586667
1,56	11,36462	0,02603333
1,57	11,45681	0,0262
1,58	11,5331	0,02636667
1,59	11,61098	0,02653333
1,6	11,69841	0,0267
1,61	11,79695	0,02686667
1,62	11,89391	0,02703333
1,63	11,98769	0,0272
1,64	12,06557	0,02736667
1,65	12,14186	0,02753333
1,66	12,23087	0,0277
1,67	12,33737	0,02786667
1,68	12,43591	0,02803333
1,69	12,49472	0,0282
1,7	12,52174	0,02836667
1,71	12,56784	0,02853333
1,72	12,65844	0,0287
1,73	12,77765	0,02886667
1,74	12,88414	0,02903333
1,75	12,95408	0,02916667
1,76	13,02242	0,02936667
1,77	13,10984	0,02953333
1,78	13,22587	0,0297
1,79	13,36257	0,02986667
1,8	13,48495	0,03003333
1,81	13,57396	0,0302
1,82	13,64708	0,03036667
1,83	13,7345	0,03053333
1,84	13,83781	0,0307
1,85	13,92841	0,03086667
1,86	13,99358	0,03103333
1,87	14,06352	0,03116667
1,88	14,14299	0,03136667
1,89	14,21611	0,03153333
1,9	14,28604	0,0317
1,91	14,36075	0,03183333
1,92	14,45293	0,03203334
1,93	14,55307	0,0322
1,94	14,64526	0,03236667
1,95	14,72155	0,03253333
1,96	14,77877	0,0327
1,97	14,83917	0,03286667
1,98	14,92341	0,03303333
1,99	15,04739	0,0332
2	15,20316	0,03336667
2,01	15,36051	0,03353333
2,02	15,48767	0,0337
2,03	15,57191	0,03383333
2,04	15,61801	0,03403333
2,05	15,65139	0,0342
2,06	15,71019	0,03436667
2,07	15,82305	0,03453333
2,08	15,95497	0,03466667
2,09	16,08531	0,03486667
2,1	16,18703	0,03503333
2,11	16,24425	0,0352
2,12	16,27604	0,03536667
2,13	16,32055	0,03553334
2,14	16,37618	0,0357
2,15	16,43658	0,03586667
2,16	16,49857	0,03603333
2,17	16,59393	0,03616667
2,18	16,72268	0,03636667
2,19	16,84984	0,03653333
2,2	16,95792	0,0367
2,21	17,04852	0,03686667
2,22	17,11845	0,03703333
2,23	17,17091	0,03716667
2,24	17,22018	0,03736667
2,25	17,29012	0,03753334
2,26	17,39343	0,0377
2,27	17,52377	0,03783333
2,28	17,66841	0,03803333
2,29	17,79874	0,0382
2,3	17,90206	0,03836667
2,31	17,97835	0,0385
2,32	18,04034	0,0387
2,33	18,08961	0,03883334
2,34	18,14683	0,03903333
2,35	18,23584	0,0392
2,36	18,34711	0,03936667
2,37	18,46472	0,0395
2,38	18,55373	0,0397
2,39	18,61095	0,03986667
2,4	18,65546	0,04003333
2,41	18,70314	0,04016667
2,42	18,77467	0,04036667
2,43	18,87004	0,0405
2,44	18,98448	0,0407
2,45	19,08779	0,04086667
2,46	19,16091	0,04103334
2,47	19,22607	0,0412
2,48	19,30237	0,04133333
2,49	19,39932	0,04153333
2,5	19,51694	0,0417
2,51	19,63933	0,04186667
2,52	19,75536	0,04203333
2,53	19,86662	0,0422
2,54	19,96835	0,04236667
2,55	20,04623	0,0425
2,56	20,10663	0,0427
2,57	20,16862	0,04283333
2,58	20,25922	0,04303334
2,59	20,37048	0,0432
2,6	20,47539	0,04336667
2,61	20,55804	0,04353333
2,62	20,62321	0,0437
2,63	20,69632	0,04386667
2,64	20,78533	0,04403333
2,65	20,8807	0,0442
2,66	20,96494	0,04436667
2,67	21,03647	0,0445
2,68	21,09846	0,0447
2,69	21,17475	0,04486667
2,7	21,26694	0,04503334
2,71	21,37025	0,0452
2,72	21,46085	0,04536667
2,73	21,53397	0,0455
2,74	21,61821	0,0457
2,75	21,72947	0,04586667
2,76	21,8455	0,04603333
2,77	21,95835	0,0462
2,78	22,05849	0,04636667
2,79	22,13955	0,0465
2,8	22,21266	0,04666667
2,81	22,30009	0,04686667
2,82	22,41135	0,04703333
2,83	22,53056	0,04716667
2,84	22,63705	0,04736667
2,85	22,72447	0,04753333
2,86	22,80235	0,0477
2,87	22,87865	0,04786667
2,88	22,96289	0,04803333
2,89	23,05031	0,0482
2,9	23,12342	0,04836667
2,91	23,18064	0,04853334
2,92	23,24581	0,0487
2,93	23,3523	0,04886667
2,94	23,47787	0,04903333
2,95	23,58119	0,0492
2,96	23,64635	0,04936667
2,97	23,69722	0,04953333
2,98	23,77669	0,0497
2,99	23,88795	0,04986667
3	24,01034	0,05003333
3,01	24,12478	0,0502
3,02	24,22492	0,05036667
3,03	24,30598	0,05053334
3,04	24,37433	0,0507
3,05	24,43155	0,05086667
3,06	24,49354	0,05103333
3,07	24,58096	0,05116667
3,08	24,69222	0,05136667
