Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
5-5.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	5-5.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00515	0,00515

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,2765656	0
0,01	0,2797445	6,666667E-05
0,02	0,2797445	0,0002333333
0,03	0,2733866	0,0005
0,04	0,2765656	0,0006666667
0,05	0,2924601	0,0008666667
0,06	0,3067652	0,001
0,07	0,3067652	0,001166667
0,08	0,298818	0,001366667
0,09	0,2892812	0,001533333
0,1	0,2892812	0,001666667
0,11	0,3035863	0,001866667
0,12	0,3115336	0,002
0,13	0,3035863	0,0022
0,14	0,2813339	0,002333333
0,15	0,2622604	0,0025
0,16	0,2543131	0,002666667
0,17	0,260671	0,002866667
0,18	0,2717972	0,003
0,19	0,2797445	0,0032
0,2	0,2765656	0,003333333
0,21	0,2622604	0,0035
0,22	0,2527237	0,003666667
0,23	0,2543131	0,003833333
0,24	0,2876917	0,004
0,25	0,3576279	0,0042
0,26	0,4593531	0,004333334
0,27	0,5801519	0,004533333
0,28	0,7009506	0,004666667
0,29	0,8153915	0,004866667
0,3	0,9202957	0,005033333
0,31	1,029968	0,0052
0,32	1,134872	0,005366667
0,33	1,238187	0,005533333
0,34	1,341502	0,0057
0,35	1,455943	0,005866667
0,36	1,58151	0,006
0,37	1,711845	0,0062
0,38	1,834234	0,006333333
0,39	1,93119	0,0065
0,4	2,024968	0,0067
0,41	2,129873	0,006866667
0,42	2,247493	0,007
0,43	2,363523	0,0072
0,44	2,481143	0,007333334
0,45	2,60671	0,007533333
0,46	2,737045	0,0077
0,47	2,859433	0,007866667
0,48	2,967517	0,008033333
0,49	3,0756	0,0082
0,5	3,197988	0,008366667
0,51	3,331502	0,0085
0,52	3,465017	0,0087
0,53	3,595352	0,008866667
0,54	3,728867	0,009033334
0,55	3,844897	0,0092
0,56	3,95457	0,009366667
0,57	4,080137	0,009533334
0,58	4,21842	0,0097
0,59	4,342397	0,009866667
0,6	4,440943	0,01003333
0,61	4,53949	0,0102
0,62	4,652341	0,01036667
0,63	4,77314	0,01053333
0,64	4,88917	0,0107
0,65	5,00679	0,01086667
0,66	5,130768	0,01103333
0,67	5,261103	0,0112
0,68	5,386671	0,01136667
0,69	5,50588	0,01153333
0,7	5,631447	0,01166667
0,71	5,761782	0,01186667
0,72	5,898476	0,01203333
0,73	6,033579	0,0122
0,74	6,162325	0,01236667
0,75	6,278356	0,01253333
0,76	6,389618	0,0127
0,77	6,504059	0,01283333
0,78	6,629626	0,013
0,79	6,748835	0,0132
0,8	6,863276	0,01333333
0,81	6,974538	0,01353333
0,82	7,0858	0,0137
0,83	7,200241	0,01386667
0,84	7,325808	0,01403333
0,85	7,468859	0,0142
0,86	7,610321	0,01433333
0,87	7,735888	0,0145
0,88	7,84715	0,0147
0,89	7,958412	0,01486667
0,9	8,077621	0,01503333
0,91	8,206367	0,0152
0,92	8,328755	0,01533333
0,93	8,436839	0,01553333
0,94	8,543332	0,0157
0,95	8,651416	0,01586667
0,96	8,759499	0,01603333
0,97	8,87394	0,0162
0,98	9,004275	0,01633333
0,99	9,153684	0,01653333
1	9,293556	0,0167
1,01	9,417534	0,01686667
1,02	9,539922	0,01703333
1,03	9,670258	0,0172
1,04	9,795825	0,01736667
1,05	9,910266	0,01753333
1,06	10,01358	0,0177
1,07	10,12007	0,01786667
1,08	10,24246	0,01803333
1,09	10,37757	0,0182
1,1	10,51426	0,01833333
1,11	10,63665	0,01853333
1,12	10,75268	0,0187
1,13	10,87507	0,01886667
1,14	11,00063	0,01903333
1,15	11,12302	0,0192
1,16	11,23905	0,01933333
1,17	11,35031	0,01953333
1,18	11,46476	0,0197
1,19	11,59032	0,01986667
1,2	11,73655	0,02003333
1,21	11,89232	0,0202
1,22	12,04332	0,02036667
1,23	12,17683	0,02053333
1,24	12,2865	0,0207
1,25	12,38664	0,02086667
1,26	12,49313	0,02103333
1,27	12,60598	0,0212
1,28	12,72043	0,02136667
1,29	12,83169	0,02153333
1,3	12,94931	0,0217
1,31	13,07964	0,02186667
1,32	13,21793	0,022
1,33	13,36575	0,0222
1,34	13,50721	0,02236667
1,35	13,64231	0,02253333
1,36	13,76947	0,0227
1,37	13,89027	0,02286667
1,38	14,00312	0,02303333
1,39	14,11756	0,0232
1,4	14,23836	0,02336667
1,41	14,36234	0,02353333
1,42	14,49267	0,0237
1,43	14,62301	0,02386667
1,44	14,74539	0,02403333
1,45	14,86301	0,0242
1,46	14,9854	0,02436667
1,47	15,11574	0,02453333
1,48	15,24131	0,0247
1,49	15,35734	0,02486667
1,5	15,47654	0,02503333
1,51	15,60211	0,0252
1,52	15,73245	0,02536667
1,53	15,86119	0,02553333
1,54	15,98358	0,0257
1,55	16,09961	0,02586667
1,56	16,23313	0,02603333
1,57	16,37459	0,0262
1,58	16,50492	0,02636667
1,59	16,62413	0,02653333
1,6	16,74175	0,0267
1,61	16,86573	0,02686667
1,62	16,9913	0,02703333
1,63	17,11369	0,0272
1,64	17,22972	0,02736667
1,65	17,34734	0,02753333
1,66	17,46655	0,0277
1,67	17,58099	0,02786667
1,68	17,68748	0,028
1,69	17,80192	0,0282
1,7	17,92908	0,02833333
1,71	18,06259	0,02853333
1,72	18,19611	0,02866667
1,73	18,31849	0,02886667
1,74	18,42976	0,029
1,75	18,54897	0,0292
1,76	18,68248	0,02936667
1,77	18,81758	0,02953333
1,78	18,9511	0,02966667
1,79	19,08461	0,02986667
1,8	19,21177	0,03003333
1,81	19,32621	0,0302
1,82	19,44065	0,03036667
1,83	19,55986	0,03053333
1,84	19,6902	0,0307
1,85	19,82689	0,03086667
1,86	19,95405	0,03103333
1,87	20,07326	0,0312
1,88	20,19564	0,03136667
1,89	20,32916	0,03153333
1,9	20,4579	0,0317
1,91	20,57076	0,03186667
1,92	20,68202	0,03203334
1,93	20,80441	0,0322
1,94	20,9252	0,03236667
1,95	21,03011	0,03253333
1,96	21,13342	0,0327
1,97	21,25899	0,03286667
1,98	21,40045	0,03303333
1,99	21,53555	0,0332
2	21,6643	0,03336667
2,01	21,79146	0,03353333
2,02	21,91702	0,03366667
2,03	22,03623	0,03386667
2,04	22,15544	0,03403333
2,05	22,28419	0,0342
2,06	22,42724	0,03433333
2,07	22,57506	0,03453333
2,08	22,71811	0,0347
2,09	22,84845	0,03486667
2,1	22,95812	0,035
2,11	23,05349	0,0352
2,12	23,1568	0,03536667
2,13	23,28396	0,03553334
2,14	23,42065	0,03566667
2,15	23,55099	0,03586667
2,16	23,67496	0,03603333
2,17	23,79735	0,0362
2,18	23,91497	0,03633333
2,19	24,02624	0,03653333
2,2	24,14068	0,0367
2,21	24,27578	0,03686667
2,22	24,42042	0,03703333
2,23	24,54599	0,0372
2,24	24,65407	0,03736667
2,25	24,77169	0,03753334
2,26	24,90203	0,0377
2,27	25,026	0,03786667
2,28	25,1468	0,03803333
2,29	25,27078	0,0382
2,3	25,39953	0,03836667
2,31	25,52191	0,03853333
2,32	25,63477	0,0387
2,33	25,74762	0,03886667
2,34	25,87	0,03903333
2,35	26,01306	0,0392
2,36	26,16564	0,03936667
2,37	26,29916	0,03953333
2,38	26,41519	0,0397
2,39	26,52963	0,03986667
2,4	26,64884	0,04003333
2,41	26,77123	0,0402
2,42	26,89203	0,04036667
2,43	27,016	0,04053333
2,44	27,13521	0,04066667
2,45	27,24965	0,04083334
2,46	27,37204	0,041
2,47	27,50079	0,0412
2,48	27,63271	0,04136667
2,49	27,76941	0,04153333
2,5	27,89974	0,04166667
2,51	28,01736	0,04186667
2,52	28,12544	0,042
2,53	28,23671	0,0422
2,54	28,36386	0,04236667
2,55	28,51168	0,04253333
2,56	28,66427	0,0427
2,57	28,79938	0,04286667
2,58	28,92176	0,043
2,59	29,04097	0,0432
2,6	29,16972	0,04336667
2,61	29,30005	0,04353333
2,62	29,43357	0,0437
2,63	29,5639	0,04383333
2,64	29,68629	0,04403333
2,65	29,79914	0,0442
2,66	29,91676	0,04436667
2,67	30,03915	0,04453333
2,68	30,15836	0,0447
2,69	30,26803	0,04486667
2,7	30,37612	0,04503334
2,71	30,4985	0,0452
2,72	30,62566	0,04536667
2,73	30,75441	0,04553333
2,74	30,87839	0,04566667
2,75	31,00713	0,04583333
2,76	31,13747	0,04603333
2,77	31,26303	0,0462
2,78	31,38224	0,04636667
2,79	31,50622	0,04653334
2,8	31,64609	0,0467
2,81	31,77961	0,04686667
2,82	31,89882	0,04703333
2,83	32,00372	0,0472
2,84	32,11339	0,04736667
2,85	32,23578	0,04753333
2,86	32,36294	0,04766667
2,87	32,49168	0,04786667
2,88	32,62202	0,04803333
2,89	32,75235	0,0482
2,9	32,87156	0,04836667
2,91	32,97488	0,04853334
2,92	33,08614	0,0487
2,93	33,22284	0,04886667
2,94	33,37224	0,04903333
2,95	33,51052	0,0492
2,96	33,62973	0,04936667
2,97	33,73941	0,04953333
2,98	33,85067	0,04966667
2,99	33,97465	0,04986667
3	34,10022	0,05003333
3,01	34,21943	0,0502
3,02	34,33704	0,05036667
3,03	34,45943	0,05053334
3,04	34,58182	0,0507
3,05	34,69308	0,05086667
3,06	34,79004	0,05103333
3,07	34,89653	0,0512
3,08	35,03482	0,05136667
3,09	35,19535	0,05153333
