Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
4-1.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	4-1.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00459	0,00459

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,3957748	3,33E-05
0,01	0,406901	0,000166667
0,02	0,41008	0,000366667
0,03	0,4037221	0,000533333
0,04	0,3989538	0,000733333
0,05	0,41008	0,0009
0,06	0,4593531	0,001066667
0,07	0,5261104	0,001233333
0,08	0,5992253	0,0014
0,09	0,6786982	0,001566667
0,1	0,7740657	0,001733333
0,11	0,8885066	0,0019
0,12	1,002947	0,002066667
0,13	1,091957	0,002233333
0,14	1,149178	0,0024
0,15	1,214345	0,002566667
0,16	1,31766	0,002733333
0,17	1,444817	0,0029
0,18	1,562436	0,003066667
0,19	1,643499	0,003233333
0,2	1,708666	0,0034
0,21	1,780192	0,003566667
0,22	1,864433	0,003733333
0,23	1,958211	0,0039
0,24	2,042453	0,004066667
0,25	2,121925	0,004266667
0,26	2,206167	0,0044
0,27	2,301534	0,004566667
0,28	2,390544	0,004733333
0,29	2,473195	0,004933333
0,3	2,559026	0,005066667
0,31	2,66552	0,005233333
0,32	2,773603	0,0054
0,33	2,861023	0,005566667
0,34	2,937317	0,005733334
0,35	3,021558	0,0059
0,36	3,128052	0,006066667
0,37	3,232956	0,006266667
0,38	3,323555	0,0064
0,39	3,399849	0,006566667
0,4	3,469785	0,006733333
0,41	3,552437	0,0069
0,42	3,646215	0,007066667
0,43	3,752708	0,007233333
0,44	3,859202	0,0074
0,45	3,956159	0,007566667
0,46	4,051527	0,007733333
0,47	4,146894	0,007900001
0,48	4,242261	0,008066666
0,49	4,326502	0,008233333
0,5	4,399618	0,0084
0,51	4,475912	0,008566666
0,52	4,5681	0,008733333
0,53	4,674593	0,0089
0,54	4,777908	0,009066666
0,55	4,873276	0,009266667
0,56	4,968643	0,0094
0,57	5,079905	0,009566667
0,58	5,192757	0,009733333
0,59	5,283356	0,0099
0,6	5,356471	0,01006667
0,61	5,440712	0,01023333
0,62	5,539258	0,0104
0,63	5,634626	0,01056667
0,64	5,726814	0,01073333
0,65	5,820592	0,0109
0,66	5,91437	0,01106667
0,67	5,995432	0,01123333
0,68	6,084442	0,0114
0,69	6,186167	0,01156667
0,7	6,291071	0,01173333
0,71	6,386439	0,0119
0,72	6,467501	0,01206667
0,73	6,546974	0,01223333
0,74	6,634394	0,0124
0,75	6,731351	0,01256667
0,76	6,829897	0,01276667
0,77	6,918907	0,0129
0,78	7,001559	0,01306667
0,79	7,0858	0,01323333
0,8	7,189115	0,0134
0,81	7,308324	0,01356667
0,82	7,422765	0,01373333
0,83	7,511775	0,01393333
0,84	7,596016	0,01406667
0,85	7,694562	0,01423333
0,86	7,797877	0,0144
0,87	7,886887	0,01456667
0,88	7,967949	0,01473333
0,89	8,058548	0,0149
0,9	8,172989	0,01506667
0,91	8,296967	0,01523333
0,92	8,403461	0,0154
0,93	8,482933	0,01556667
0,94	8,54969	0,01573333
0,95	8,637111	0,0159
0,96	8,748372	0,0161
0,97	8,865993	0,01623333
0,98	8,96136	0,0164
0,99	9,031296	0,01656667
1	9,096463	0,01673333
1,01	9,180705	0,01693333
1,02	9,287198	0,01706667
1,03	9,401639	0,01723333
1,04	9,506543	0,0174
1,05	9,601911	0,01756667
1,06	9,69251	0,01773333
1,07	9,78152	0,0179
1,08	9,880066	0,01806667
1,09	9,975433	0,01823333
1,1	10,05332	0,0184
1,11	10,11848	0,01856667
1,12	10,18683	0,01873333
1,13	10,27902	0,0189
1,14	10,39346	0,01906667
1,15	10,4936	0,01923333
1,16	10,56512	0,0194
1,17	10,63188	0,01956667
1,18	10,72407	0,01973333
1,19	10,83851	0,0199
1,2	10,945	0,02006667
1,21	11,04037	0,02023333
1,22	11,12938	0,0204
1,23	11,22157	0,02056667
1,24	11,32329	0,02073333
1,25	11,42661	0,0209
1,26	11,52356	0,02106667
1,27	11,61416	0,02123333
1,28	11,69523	0,0214
1,29	11,77629	0,0216
1,3	11,86848	0,02173333
1,31	11,98133	0,0219
1,32	12,08941	0,02206667
1,33	12,18796	0,02223333
1,34	12,2722	0,0224
1,35	12,34531	0,02256667
1,36	12,4232	0,02273333
1,37	12,5138	0,0229
1,38	12,6187	0,02306667
1,39	12,72837	0,02323333
1,4	12,82374	0,0234
1,41	12,90003	0,02356667
1,42	12,97315	0,02373333
1,43	13,06534	0,0239
1,44	13,18137	0,02406667
1,45	13,29104	0,02423333
1,46	13,3721	0,0244
1,47	13,43409	0,02456667
1,48	13,51039	0,02476667
1,49	13,61211	0,02493333
1,5	13,72337	0,02506667
1,51	13,82351	0,02523333
1,52	13,90775	0,0254
1,53	13,98881	0,02556667
1,54	14,07305	0,02573333
1,55	14,16047	0,0259
1,56	14,25266	0,02606667
1,57	14,34326	0,02626667
1,58	14,43545	0,0264
1,59	14,52446	0,02656667
1,6	14,61983	0,02673333
1,61	14,72314	0,02693333
1,62	14,82646	0,02706667
1,63	14,93295	0,02723333
1,64	15,03309	0,0274
1,65	15,1364	0,02756667
1,66	15,23177	0,02773333
1,67	15,32714	0,0279
1,68	15,41297	0,02806667
1,69	15,50039	0,02823333
1,7	15,59258	0,0284
1,71	15,69112	0,02856667
1,72	15,78808	0,02873333
1,73	15,89139	0,0289
1,74	15,98994	0,02906667
1,75	16,06941	0,02923333
1,76	16,13458	0,02943333
1,77	16,20134	0,02956667
1,78	16,29194	0,02973333
1,79	16,4032	0,0299
1,8	16,52241	0,03006667
1,81	16,62254	0,03023333
1,82	16,70996	0,0304
1,83	16,80533	0,03056667
1,84	16,91977	0,03076667
1,85	17,02309	0,0309
1,86	17,0962	0,03106667
1,87	17,1566	0,03123333
1,88	17,23448	0,0314
1,89	17,34416	0,03156667
1,9	17,46019	0,03173333
1,91	17,55873	0,03193333
1,92	17,62867	0,03206667
1,93	17,69066	0,03223334
1,94	17,759	0,0324
1,95	17,84325	0,03256667
1,96	17,94338	0,03273333
1,97	18,05305	0,0329
1,98	18,16114	0,03306667
1,99	18,2724	0,03323333
2	18,36777	0,0334
2,01	18,43611	0,03356667
2,02	18,4981	0,03373333
2,03	18,5887	0,0339
2,04	18,71904	0,03406667
2,05	18,84937	0,03423334
2,06	18,94474	0,0344
2,07	19,01309	0,03456667
2,08	19,08302	0,03473333
2,09	19,16409	0,0349
2,1	19,26581	0,03506667
2,11	19,36913	0,03523333
2,12	19,4629	0,0354
2,13	19,5535	0,03556667
2,14	19,65364	0,03573333
2,15	19,75377	0,0359
2,16	19,83801	0,03606667
2,17	19,92067	0,03623333
2,18	20,01604	0,0364
2,19	20,12094	0,03656667
2,2	20,21631	0,03673333
2,21	20,30691	0,0369
2,22	20,40068	0,03706667
2,23	20,50241	0,03723333
2,24	20,60254	0,0374
2,25	20,69473	0,03756667
2,26	20,78215	0,03773334
2,27	20,86321	0,0379
2,28	20,95381	0,03806667
2,29	21,04759	0,03823333
2,3	21,14137	0,0384
2,31	21,21925	0,03856667
2,32	21,29555	0,03873333
2,33	21,38456	0,03893333
2,34	21,48628	0,03906667
2,35	21,59119	0,03923333
2,36	21,6945	0,0394
2,37	21,78987	0,03956667
2,38	21,87411	0,03973334
2,39	21,95358	0,0399
2,4	22,03782	0,04006667
2,41	22,13319	0,04023333
2,42	22,23333	0,0404
2,43	22,3287	0,04056667
2,44	22,42088	0,04073333
2,45	22,5083	0,0409
2,46	22,59413	0,04106667
2,47	22,68473	0,04123333
2,48	22,78487	0,0414
2,49	22,89454	0,04156667
2,5	22,99786	0,04173333
2,51	23,09481	0,0419
2,52	23,20131	0,04206667
2,53	23,30939	0,04223333
2,54	23,40476	0,0424
2,55	23,489	0,04256667
2,56	23,56847	0,04273333
2,57	23,6543	0,0429
2,58	23,75762	0,04306667
2,59	23,86729	0,04323334
2,6	23,9563	0,0434
2,61	24,02941	0,04356667
2,62	24,10412	0,04373333
2,63	24,19631	0,0439
2,64	24,30439	0,04406667
2,65	24,41247	0,04426667
2,66	24,50784	0,0444
2,67	24,60003	0,04456667
2,68	24,69381	0,04473333
2,69	24,786	0,0449
2,7	24,88136	0,04506667
2,71	24,97355	0,04523334
2,72	25,05144	0,0454
2,73	25,12296	0,04556667
2,74	25,21197	0,04573333
2,75	25,32164	0,04593333
2,76	25,42496	0,04606667
2,77	25,50602	0,04623333
2,78	25,58231	0,0464
2,79	25,67132	0,04656667
2,8	25,781	0,04673333
2,81	25,88908	0,0469
2,82	25,98445	0,04706667
2,83	26,06233	0,04723334
2,84	26,13386	0,0474
2,85	26,20379	0,04756667
2,86	26,28326	0,04773333
2,87	26,37227	0,0479
2,88	26,47082	0,04806667
2,89	26,5789	0,04823333
2,9	26,69334	0,0484
2,91	26,79984	0,04856667
2,92	26,8952	0,04873333
2,93	26,99057	0,0489
2,94	27,09071	0,04906667
2,95	27,1829	0,04923333
2,96	27,27509	0,0494
2,97	27,37522	0,04956667
2,98	27,46582	0,04973333
2,99	27,53417	0,0499
3	27,59298	0,05006667
3,01	27,6804	0,05023333
3,02	27,79166	0,0504
3,03	27,91087	0,05056667
3,04	28,02849	0,05073334
3,05	28,13657	0,0509
3,06	28,23194	0,05106667
3,07	28,31141	0,05123333
3,08	28,40042	0,0514
3,09	28,51009	0,05156667
