Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
5-4.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	5-4.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00525	0,00525

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,2765656	3,333333E-05
0,01	0,2924601	0,0001
0,02	0,3004074	0,0002666667
0,03	0,3035863	0,0005
0,04	0,3067652	0,0007
0,05	0,3067652	0,0008666667
0,06	0,295639	0,001033333
0,07	0,2845128	0,0012
0,08	0,2813339	0,001366667
0,09	0,2876917	0,001533333
0,1	0,298818	0,0017
0,11	0,3083547	0,001866667
0,12	0,3067652	0,002033333
0,13	0,2876917	0,0022
0,14	0,2717972	0,002366667
0,15	0,2733866	0,002533333
0,16	0,2845128	0,0027
0,17	0,295639	0,002866667
0,18	0,2924601	0,003033333
0,19	0,2765656	0,0032
0,2	0,2686183	0,003366667
0,21	0,2797445	0,003533333
0,22	0,298818	0,003666667
0,23	0,3035863	0,003866667
0,24	0,3083547	0,004033333
0,25	0,333786	0,0042
0,26	0,3925959	0,004366667
0,27	0,4863739	0,004533333
0,28	0,6103516	0,0047
0,29	0,743866	0,004866667
0,3	0,8662542	0,005033333
0,31	0,9695689	0,0052
0,32	1,076063	0,005366667
0,33	1,20004	0,005533333
0,34	1,322428	0,0057
0,35	1,43369	0,005866667
0,36	1,537005	0,006033333
0,37	1,646678	0,0062
0,38	1,75794	0,006366667
0,39	1,869202	0,006533334
0,4	1,986822	0,0067
0,41	2,102852	0,006866667
0,42	2,222061	0,007033333
0,43	2,350807	0,0072
0,44	2,485911	0,007366667
0,45	2,622604	0,007533333
0,46	2,75294	0,0077
0,47	2,875328	0,007866667
0,48	2,991359	0,008033333
0,49	3,112157	0,0082
0,5	3,234545	0,0084
0,51	3,353755	0,008533333
0,52	3,465017	0,008733333
0,53	3,579458	0,008866667
0,54	3,698667	0,009033334
0,55	3,832181	0,0092
0,56	3,970464	0,009366667
0,57	4,096031	0,009533334
0,58	4,196167	0,0097
0,59	4,299482	0,009866667
0,6	4,429817	0,01003333
0,61	4,574458	0,0102
0,62	4,71274	0,01036667
0,63	4,835129	0,01053333
0,64	4,954338	0,0107
0,65	5,068779	0,01086667
0,66	5,18322	0,01103333
0,67	5,294482	0,0112
0,68	5,413691	0,01136667
0,69	5,531311	0,01153333
0,7	5,65052	0,0117
0,71	5,777677	0,01186667
0,72	5,922318	0,01203333
0,73	6,066958	0,0122
0,74	6,197294	0,01236667
0,75	6,308556	0,01253333
0,76	6,41187	0,0127
0,77	6,519953	0,01286667
0,78	6,648699	0,01303333
0,79	6,786982	0,01323333
0,8	6,925265	0,01336667
0,81	7,055601	0,01353333
0,82	7,189115	0,0137
0,83	7,330576	0,0139
0,84	7,464091	0,01406667
0,85	7,5833	0,0142
0,86	7,694562	0,01436667
0,87	7,812182	0,01453333
0,88	7,93457	0,0147
0,89	8,061727	0,01486667
0,9	8,188884	0,01503333
0,91	8,31445	0,0152
0,92	8,441607	0,0154
0,93	8,571942	0,01553333
0,94	8,700688	0,0157
0,95	8,826256	0,0159
0,96	8,945465	0,01603333
0,97	9,067853	0,0162
0,98	9,198189	0,0164
0,99	9,333293	0,01653333
1	9,463628	0,0167
1,01	9,584427	0,01686667
1,02	9,695689	0,01703333
1,03	9,81013	0,0172
1,04	9,934108	0,0174
1,05	10,0708	0,01753333
1,06	10,20114	0,0177
1,07	10,31558	0,01786667
1,08	10,43002	0,01803333
1,09	10,56035	0,0182
1,1	10,69228	0,0184
1,11	10,81785	0,01853333
1,12	10,94341	0,0187
1,13	11,0817	0,01886667
1,14	11,2311	0,01903333
1,15	11,3678	0,0192
1,16	11,47588	0,01936667
1,17	11,57443	0,01953333
1,18	11,67933	0,0197
1,19	11,79695	0,01986667
1,2	11,93047	0,02006667
1,21	12,07193	0,0202
1,22	12,2118	0,02036667
1,23	12,34372	0,02053333
1,24	12,46611	0,02073333
1,25	12,58214	0,02086667
1,26	12,70771	0,02103333
1,27	12,84599	0,0212
1,28	12,99222	0,02136667
1,29	13,1321	0,02153333
1,3	13,25289	0,0217
1,31	13,36575	0,02186667
1,32	13,4786	0,02203333
1,33	13,60416	0,0222
1,34	13,72973	0,02236667
1,35	13,84576	0,02256667
1,36	13,96338	0,0227
1,37	14,09054	0,02286667
1,38	14,232	0,02306667
1,39	14,37664	0,0232
1,4	14,50698	0,02336667
1,41	14,61824	0,02353333
1,42	14,72473	0,0237
1,43	14,83281	0,02386667
1,44	14,95202	0,02406667
1,45	15,08236	0,0242
1,46	15,21587	0,02436667
1,47	15,33826	0,02453333
1,48	15,44952	0,0247
1,49	15,57032	0,02486667
1,5	15,70225	0,02503333
1,51	15,84371	0,02523333
1,52	15,98358	0,0254
1,53	16,11551	0,02553333
1,54	16,24584	0,0257
1,55	16,37936	0,02586667
1,56	16,50492	0,02603333
1,57	16,62731	0,0262
1,58	16,75129	0,02636667
1,59	16,88321	0,02653333
1,6	17,00719	0,0267
1,61	17,12958	0,02686667
1,62	17,25515	0,02703333
1,63	17,37753	0,0272
1,64	17,49674	0,02736667
1,65	17,62231	0,02753333
1,66	17,75742	0,0277
1,67	17,89411	0,02786667
1,68	18,0165	0,02803333
1,69	18,12458	0,0282
1,7	18,23902	0,02836667
1,71	18,36459	0,02853333
1,72	18,49174	0,0287
1,73	18,62526	0,02886667
1,74	18,75559	0,02903333
1,75	18,88275	0,0292
1,76	19,00514	0,0294
1,77	19,12594	0,02953333
1,78	19,2531	0,0297
1,79	19,39456	0,02986667
1,8	19,53602	0,03006667
1,81	19,65523	0,0302
1,82	19,76172	0,03036667
1,83	19,8698	0,03053333
1,84	20,00014	0,03073333
1,85	20,14955	0,03086667
1,86	20,30532	0,03103333
1,87	20,45155	0,0312
1,88	20,58506	0,0314
1,89	20,71222	0,03153333
1,9	20,83302	0,03173333
1,91	20,9411	0,03186667
1,92	21,04441	0,03203334
1,93	21,14773	0,0322
1,94	21,25581	0,03236667
1,95	21,37025	0,03253333
1,96	21,499	0,03273333
1,97	21,6341	0,03286667
1,98	21,77556	0,03303333
1,99	21,90908	0,03323333
2	22,02829	0,03336667
2,01	22,1475	0,03353333
2,02	22,27306	0,0337
2,03	22,40022	0,0339
2,04	22,52261	0,03406667
2,05	22,64023	0,0342
2,06	22,75944	0,03436667
2,07	22,885	0,03456667
2,08	23,01852	0,0347
2,09	23,1568	0,03486667
2,1	23,30303	0,03506667
2,11	23,43973	0,0352
2,12	23,55258	0,03536667
2,13	23,66225	0,03553334
2,14	23,78146	0,0357
2,15	23,90862	0,03586667
2,16	24,02941	0,03603333
2,17	24,14068	0,0362
2,18	24,25671	0,03636667
2,19	24,40135	0,03653333
2,2	24,56188	0,0367
2,21	24,71606	0,03686667
2,22	24,83686	0,03703333
2,23	24,93382	0,0372
2,24	25,03236	0,03736667
2,25	25,15634	0,03753334
2,26	25,30098	0,0377
2,27	25,44721	0,03786667
2,28	25,57913	0,03803333
2,29	25,69517	0,0382
2,3	25,81278	0,03836667
2,31	25,94471	0,03853333
2,32	26,08935	0,0387
2,33	26,22604	0,03886667
2,34	26,33095	0,03906667
2,35	26,43267	0,0392
2,36	26,55188	0,03936667
2,37	26,69493	0,03953333
2,38	26,84434	0,0397
2,39	26,97786	0,03986667
2,4	27,08753	0,04003333
2,41	27,1829	0,0402
2,42	27,28303	0,04036667
2,43	27,39906	0,04053333
2,44	27,53576	0,0407
2,45	27,68993	0,04086667
2,46	27,8457	0,04106667
2,47	27,97922	0,0412
2,48	28,09207	0,04136667
2,49	28,20651	0,04153333
2,5	28,3432	0,0417
2,51	28,49738	0,04186667
2,52	28,6452	0,04203333
2,53	28,77235	0,0422
2,54	28,88362	0,04236667
2,55	28,99488	0,04253333
2,56	29,11727	0,0427
2,57	29,24601	0,04286667
2,58	29,37317	0,04303334
2,59	29,50033	0,0432
2,6	29,62589	0,04336667
2,61	29,74033	0,04353333
2,62	29,85159	0,0437
2,63	29,95968	0,04386667
2,64	30,07094	0,04403333
2,65	30,20445	0,0442
2,66	30,34592	0,04436667
2,67	30,4842	0,04453333
2,68	30,62566	0,0447
2,69	30,77507	0,04486667
2,7	30,91494	0,04503334
2,71	31,03415	0,0452
2,72	31,14223	0,04536667
2,73	31,25986	0,04553333
2,74	31,39496	0,0457
2,75	31,53483	0,04586667
2,76	31,65881	0,04603333
2,77	31,77325	0,0462
2,78	31,88451	0,04636667
2,79	32,00372	0,04653334
2,8	32,13565	0,0467
2,81	32,27075	0,04686667
2,82	32,40744	0,04703333
2,83	32,5346	0,0472
2,84	32,65699	0,04736667
2,85	32,77938	0,04753333
2,86	32,90653	0,0477
2,87	33,03687	0,04786667
2,88	33,16562	0,04803333
2,89	33,28482	0,0482
2,9	33,39927	0,04836667
2,91	33,51847	0,04853334
2,92	33,64563	0,0487
2,93	33,77755	0,04886667
2,94	33,90153	0,04906667
2,95	34,03028	0,0492
2,96	34,15744	0,04936667
2,97	34,27982	0,04953333
2,98	34,40221	0,0497
2,99	34,52142	0,04986667
3	34,63904	0,05003333
3,01	34,75507	0,0502
3,02	34,88541	0,05036667
3,03	35,03799	0,05053334
3,04	35,19058	0,05073334
3,05	35,32569	0,05086667
3,06	35,44648	0,05103333
3,07	35,56252	0,0512
3,08	35,68967	0,05136667
