Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
3-6.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	3-6.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00239	0,00239

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,521342	3,333333E-05
0,01	0,4259745	0,0001333333
0,02	0,3385544	0,0003666667
0,03	0,3194809	0,0005333333
0,04	0,3687541	0,0007
0,05	0,4402796	0,0008666667
0,06	0,4959106	0,001033333
0,07	0,5404155	0,001233333
0,08	0,6055832	0,0014
0,09	0,6977717	0,001566667
0,1	0,7772446	0,001733333
0,11	0,8010864	0,0019
0,12	0,8010864	0,002066667
0,13	0,855128	0,002233333
0,14	1,004537	0,0024
0,15	1,206398	0,002566667
0,16	1,379649	0,002733333
0,17	1,478195	0,0029
0,18	1,513163	0,003066667
0,19	1,537005	0,003233333
0,2	1,573563	0,0034
0,21	1,613299	0,003566667
0,22	1,63873	0,003733333
0,23	1,670519	0,0039
0,24	1,754761	0,004066667
0,25	1,918475	0,004233333
0,26	2,117157	0,0044
0,27	2,28246	0,004566667
0,28	2,390544	0,004733333
0,29	2,466838	0,0049
0,3	2,541542	0,005033333
0,31	2,616246	0,005233333
0,32	2,687772	0,0054
0,33	2,749761	0,005533333
0,34	2,818108	0,0057
0,35	2,902349	0,0059
0,36	3,002485	0,006066667
0,37	3,112157	0,006233334
0,38	3,212293	0,006366667
0,39	3,293355	0,006566667
0,4	3,353755	0,0067
0,41	3,404617	0,0069
0,42	3,453891	0,007033333
0,43	3,506343	0,007233333
0,44	3,579458	0,0074
0,45	3,695488	0,007566667
0,46	3,844897	0,007733333
0,47	3,986359	0,007900001
0,48	4,09762	0,008066666
0,49	4,177094	0,008233333
0,5	4,242261	0,0084
0,51	4,30425	0,008566666
0,52	4,359881	0,008733333
0,53	4,42187	0,0089
0,54	4,514059	0,009033334
0,55	4,647573	0,009233333
0,56	4,792213	0,0094
0,57	4,916191	0,009566667
0,58	5,014738	0,009733333
0,59	5,083084	0,0099
0,6	5,133947	0,01006667
0,61	5,187988	0,01023333
0,62	5,245209	0,0104
0,63	5,305608	0,01056667
0,64	5,381902	0,01073333
0,65	5,493164	0,0109
0,66	5,626678	0,01106667
0,67	5,753835	0,01123333
0,68	5,852381	0,0114
0,69	5,930265	0,01156667
0,7	5,998611	0,01173333
0,71	6,078084	0,0119
0,72	6,163915	0,01206667
0,73	6,254514	0,01223333
0,74	6,357829	0,0124
0,75	6,47068	0,01256667
0,76	6,573995	0,01273333
0,77	6,659826	0,0129
0,78	6,724993	0,01306667
0,79	6,772677	0,01323333
0,8	6,814003	0,0134
0,81	6,864866	0,01356667
0,82	6,925265	0,01373333
0,83	6,985664	0,01386667
0,84	7,061958	0,01406667
0,85	7,158915	0,01423333
0,86	7,278124	0,0144
0,87	7,395744	0,01456667
0,88	7,499059	0,01473333
0,89	7,588068	0,0149
0,9	7,667542	0,01506667
0,91	7,743835	0,01523333
0,92	7,839203	0,0154
0,93	7,96636	0,01556667
0,94	8,11259	0,01573333
0,95	8,249283	0,0159
0,96	8,355777	0,01606667
0,97	8,440018	0,01623333
0,98	8,536975	0,0164
0,99	8,654594	0,01656667
1	8,75473	0,01673333
1,01	8,800824	0,0169
1,02	8,816719	0,01706667
1,03	8,854866	0,01723333
1,04	8,934339	0,0174
1,05	9,029706	0,01756667
1,06	9,118716	0,01773333
1,07	9,187062	0,0179
1,08	9,244283	0,01806667
1,09	9,320577	0,01823333
1,1	9,435018	0,01836667
1,11	9,557406	0,01856667
1,12	9,643237	0,01873333
1,13	9,69251	0,0189
1,14	9,754498	0,01906667
1,15	9,864171	0,01923333
1,16	9,999275	0,0194
1,17	10,12802	0,01956667
1,18	10,2361	0,0197
1,19	10,33624	0,0199
1,2	10,43956	0,02006667
1,21	10,54605	0,02023333
1,22	10,63665	0,0204
1,23	10,69864	0,02056667
1,24	10,7495	0,02073333
1,25	10,81308	0,0209
1,26	10,89891	0,02103333
1,27	11,00063	0,02123333
1,28	11,09282	0,02136667
1,29	11,17388	0,02156667
1,3	11,26607	0,02173333
1,31	11,37574	0,0219
1,32	11,48701	0,02206667
1,33	11,58714	0,02223333
1,34	11,67138	0,0224
1,35	11,73973	0,02256667
1,36	11,80808	0,02273333
1,37	11,89232	0,0229
1,38	11,99563	0,02306667
1,39	12,09895	0,02323333
1,4	12,16888	0,0234
1,41	12,21816	0,02356667
1,42	12,27697	0,02373333
1,43	12,36757	0,0239
1,44	12,48201	0,02406667
1,45	12,61234	0,02423333
1,46	12,74586	0,0244
1,47	12,86507	0,02456667
1,48	12,97951	0,02473333
1,49	13,09077	0,0249
1,5	13,18296	0,02506667
1,51	13,24813	0,02523333
1,52	13,29104	0,0254
1,53	13,33714	0,02556667
1,54	13,40071	0,02573333
1,55	13,48813	0,0259
1,56	13,58827	0,02606667
1,57	13,69158	0,02623333
1,58	13,80603	0,02636667
1,59	13,93795	0,02656667
1,6	14,08259	0,02673333
1,61	14,2018	0,0269
1,62	14,28127	0,02703333
1,63	14,31942	0,02723333
1,64	14,34644	0,0274
1,65	14,3973	0,02756667
1,66	14,47678	0,0277
1,67	14,5642	0,0279
1,68	14,64208	0,02806667
1,69	14,71837	0,02823333
1,7	14,81056	0,0284
1,71	14,925	0,02856667
1,72	15,03944	0,02873333
1,73	15,13799	0,0289
1,74	15,22382	0,02906667
1,75	15,31442	0,02923333
1,76	15,42568	0,0294
1,77	15,57191	0,02956667
1,78	15,75152	0,02973333
1,79	15,92636	0,0299
1,8	16,00742	0,03006667
1,81	15,96133	0,03023333
1,82	15,90411	0,0304
1,83	15,98358	0,03056667
1,84	16,19816	0,03073333
1,85	16,39525	0,0309
1,86	16,46678	0,03106667
1,87	16,4477	0,03123333
1,88	16,46201	0,0314
1,89	16,59234	0,03156667
1,9	16,78467	0,03173333
1,91	16,90388	0,0319
1,92	16,89275	0,03206667
1,93	16,85301	0,03223334
1,94	16,92136	0,03236667
1,95	17,11845	0,03256667
1,96	17,33144	0,03273333
1,97	17,44747	0,0329
1,98	17,46655	0,03303333
1,99	17,48403	0,0332
2	17,58734	0,0334
2,01	17,7606	0,03356667
2,02	17,91318	0,0337
2,03	17,97517	0,03386667
2,04	17,97835	0,03406667
2,05	18,01809	0,03423334
2,06	18,15478	0,0344
2,07	18,32803	0,03456667
2,08	18,44565	0,0347
2,09	18,47267	0,0349
2,1	18,46949	0,03503333
2,11	18,51877	0,03523333
2,12	18,63798	0,0354
2,13	18,77785	0,03556667
2,14	18,88275	0,03573333
2,15	18,95905	0,0359
2,16	19,04329	0,03606667
2,17	19,16091	0,03623333
2,18	19,28329	0,03636667
2,19	19,37548	0,03656667
2,2	19,42635	0,03673333
2,21	19,45654	0,0369
2,22	19,51059	0,03706667
2,23	19,61708	0,03723333
2,24	19,75377	0,0374
2,25	19,88411	0,03756667
2,26	19,98425	0,0377
2,27	20,05736	0,0379
2,28	20,11935	0,03803333
2,29	20,19405	0,03823333
2,3	20,29101	0,0384
2,31	20,40863	0,03856667
2,32	20,52307	0,03873333
2,33	20,61208	0,0389
2,34	20,6852	0,03906667
2,35	20,77579	0,03923333
2,36	20,87911	0,0394
2,37	20,96494	0,03956667
2,38	21,02852	0,0397
2,39	21,08574	0,03986667
2,4	21,17952	0,04006667
2,41	21,32734	0,04023333
2,42	21,48946	0,0404
2,43	21,60072	0,04056667
2,44	21,63887	0,04073333
2,45	21,65635	0,0409
2,46	21,72311	0,04103334
2,47	21,84868	0,0412
2,48	21,97107	0,0414
2,49	22,04418	0,04156667
2,5	22,09345	0,0417
2,51	22,17452	0,0419
2,52	22,32234	0,04206667
2,53	22,49241	0,04223333
2,54	22,62433	0,0424
2,55	22,67202	0,04256667
2,56	22,67043	0,04273333
2,57	22,6752	0,0429
2,58	22,74354	0,04303334
2,59	22,86593	0,04323334
2,6	22,98832	0,0434
2,61	23,08846	0,04356667
2,62	23,17587	0,04373333
2,63	23,27919	0,04386667
2,64	23,40317	0,04406667
2,65	23,53191	0,04423333
2,66	23,6241	0,0444
2,67	23,68132	0,04456667
2,68	23,74967	0,04473333
2,69	23,85457	0,0449
2,7	23,98809	0,04506667
2,71	24,11366	0,04523334
2,72	24,1979	0,0454
2,73	24,24081	0,04556667
2,74	24,27101	0,0457
2,75	24,32028	0,0459
2,76	24,39817	0,04606667
2,77	24,49671	0,04623333
2,78	24,60003	0,0464
2,79	24,69699	0,04656667
2,8	24,8003	0,0467
2,81	24,91474	0,0469
2,82	25,03236	0,04706667
2,83	25,12932	0,04723334
2,84	25,20561	0,0474
2,85	25,27873	0,04756667
2,86	25,36297	0,04773333
2,87	25,45357	0,04786667
2,88	25,54893	0,04803333
2,89	25,6602	0,04823333
2,9	25,78576	0,0484
2,91	25,89067	0,04856667
2,92	25,96696	0,0487
2,93	26,02736	0,0489
2,94	26,0973	0,04906667
2,95	26,18154	0,04923333
2,96	26,27214	0,0494
2,97	26,3532	0,04956667
2,98	26,43744	0,0497
2,99	26,54076	0,0499
3	26,65202	0,05006667
3,01	26,75215	0,05023333
3,02	26,83481	0,05036667
3,03	26,90792	0,05056667
3,04	26,98898	0,05073334
3,05	27,08753	0,0509
3,06	27,19561	0,05106667
3,07	27,29416	0,05123333
3,08	27,37204	0,0514
3,09	27,45628	0,05156667
