Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
4-1.xtas	Одиночный	Растяжение	Заголовок	Комментарий	 	 	4-1.xtas	 	27.05.2021	27.05.2021	Одиночный	Растяжение	1мм/мин	Плоская	1	1

Форма:	Серия:	Часть серии:
Плоская	1	1
Имя	Толщина	Ширина	Длина базы измерения
Размерность:	мм	мм	мм
1 _ 1	4,0000	10,0000	120,0000

Имя	Удлинение1_Ход	Удлинение1_Удлинение
Параметр	Сила 1 Н	Сила 1 Н
Единица	мм	мм
1 _ 1	0,00459	0,00459

1 _ 1	
Время	Сила	Ход
сек	Н	мм
0	0,7502238	3,333333E-05
0,01	0,7216136	0,0001
0,02	0,6977717	0,0002666667
0,03	0,6818771	0,0005
0,04	0,6898244	0,0007
0,05	0,7120768	0,0008666667
0,06	0,7327397	0,001033333
0,07	0,7390976	0,0012
0,08	0,7359187	0,001366667
0,09	0,7470449	0,001533333
0,1	0,7581711	0,0017
0,11	0,7359187	0,001866667
0,12	0,6930034	0,002033333
0,13	0,667572	0,0022
0,14	0,6930034	0,002366667
0,15	0,7327397	0,002533333
0,16	0,7502238	0,0027
0,17	0,7247925	0,002866667
0,18	0,6977717	0,003033333
0,19	0,6945928	0,003166667
0,2	0,7247925	0,003366667
0,21	0,7581711	0,0035
0,22	0,7677078	0,003666667
0,23	0,7597606	0,003833333
0,24	0,7629395	0,004
0,25	0,8058548	0,004166667
0,26	0,890096	0,004366667
0,27	0,9775162	0,004533333
0,28	1,041094	0,0047
0,29	1,076063	0,004866667
0,3	1,115799	0,005033333
0,31	1,209577	0,0052
0,32	1,34786	0,005366667
0,33	1,482964	0,005533333
0,34	1,578331	0,0057
0,35	1,657804	0,005866667
0,36	1,749992	0,006033333
0,37	1,864433	0,0062
0,38	1,969337	0,006366667
0,39	2,04881	0,006533334
0,4	2,125104	0,0067
0,41	2,236366	0,006866667
0,42	2,382596	0,007033333
0,43	2,538363	0,0072
0,44	2,671878	0,007366667
0,45	2,768834	0,007533333
0,46	2,848307	0,0077
0,47	2,932549	0,007833334
0,48	3,032684	0,008033333
0,49	3,147125	0,0082
0,5	3,255208	0,008366667
0,51	3,356934	0,008533333
0,52	3,453891	0,0087
0,53	3,560384	0,008866667
0,54	3,663699	0,009033334
0,55	3,755887	0,0092
0,56	3,844897	0,009366667
0,57	3,932317	0,009533334
0,58	4,022916	0,0097
0,59	4,126231	0,009866667
0,6	4,248619	0,01003333
0,61	4,375776	0,0102
0,62	4,494985	0,01036667
0,63	4,609426	0,01053333
0,64	4,709562	0,0107
0,65	4,808108	0,01086667
0,66	4,916191	0,01103333
0,67	5,041758	0,0112
0,68	5,176862	0,01136667
0,69	5,305608	0,01153333
0,7	5,413691	0,0117
0,71	5,520185	0,01186667
0,72	5,636215	0,01203333
0,73	5,76814	0,0122
0,74	5,88735	0,01236667
0,75	5,987485	0,01253333
0,76	6,078084	0,0127
0,77	6,175041	0,01286667
0,78	6,286303	0,01303333
0,79	6,400744	0,0132
0,8	6,507238	0,01336667
0,81	6,604195	0,01353333
0,82	6,702741	0,0137
0,83	6,806056	0,01386667
0,84	6,928444	0,01403333
0,85	7,052422	0,0142
0,86	7,158915	0,01436667
0,87	7,227262	0,01453333
0,88	7,281303	0,0147
0,89	7,371902	0,01486667
0,9	7,514954	0,01503333
0,91	7,683436	0,0152
0,92	7,813772	0,01536667
0,93	7,893244	0,01553333
0,94	7,958412	0,0157
0,95	8,061727	0,01586667
0,96	8,222262	0,01603333
0,97	8,398692	0,0162
0,98	8,544922	0,01636667
0,99	8,651416	0,01653333
1	8,735657	0,0167
1,01	8,826256	0,01686667
1,02	8,934339	0,01703333
1,03	9,059906	0,0172
1,04	9,183884	0,01736667
1,05	9,293556	0,01753333
1,06	9,379387	0,0177
1,07	9,447734	0,01786667
1,08	9,524028	0,01803333
1,09	9,619395	0,0182
1,1	9,716352	0,01836667
1,11	9,800593	0,01853333
1,12	9,880066	0,0187
1,13	9,98338	0,01886667
1,14	10,11689	0,01903333
1,15	10,25836	0,0192
1,16	10,37757	0,01936667
1,17	10,46975	0,01953333
1,18	10,56035	0,0197
1,19	10,68274	0,01986667
1,2	10,83692	0,02003333
1,21	10,98951	0,0202
1,22	11,10554	0,02036667
1,23	11,19296	0,02053333
1,24	11,29309	0,0207
1,25	11,43456	0,02086667
1,26	11,5935	0,02103333
1,27	11,72543	0,0212
1,28	11,81761	0,02136667
1,29	11,89232	0,02153333
1,3	11,97338	0,0217
1,31	12,07352	0,02186667
1,32	12,17524	0,02203333
1,33	12,26425	0,0222
1,34	12,3628	0,02236667
1,35	12,48201	0,02253333
1,36	12,61234	0,0227
1,37	12,72678	0,02286667
1,38	12,81897	0,02303333
1,39	12,91116	0,0232
1,4	13,02242	0,02336667
1,41	13,15912	0,02353333
1,42	13,28627	0,0237
1,43	13,40071	0,02386667
1,44	13,51198	0,02403333
1,45	13,63754	0,0242
1,46	13,76947	0,02436667
1,47	13,88709	0,02453333
1,48	13,98722	0,0247
1,49	14,07782	0,02486667
1,5	14,17001	0,02503333
1,51	14,27491	0,0252
1,52	14,39254	0,02536667
1,53	14,50698	0,02553333
1,54	14,62142	0,0257
1,55	14,73268	0,02586667
1,56	14,84394	0,02603333
1,57	14,94408	0,0262
1,58	15,0315	0,02636667
1,59	15,13004	0,02653333
1,6	15,25402	0,0267
1,61	15,3923	0,02686667
1,62	15,52105	0,02703333
1,63	15,62119	0,0272
1,64	15,70543	0,02736667
1,65	15,79762	0,02753333
1,66	15,90729	0,0277
1,67	16,01855	0,02786667
1,68	16,11551	0,02803333
1,69	16,20611	0,0282
1,7	16,30306	0,02836667
1,71	16,4334	0,02853333
1,72	16,57486	0,0287
1,73	16,70043	0,02886667
1,74	16,79262	0,02903333
1,75	16,89275	0,0292
1,76	17,0215	0,02936667
1,77	17,15978	0,02953333
1,78	17,28535	0,0297
1,79	17,40138	0,02986667
1,8	17,51264	0,03003333
1,81	17,63026	0,0302
1,82	17,74947	0,03036667
1,83	17,86868	0,03053333
1,84	17,96722	0,0307
1,85	18,05464	0,03086667
1,86	18,1516	0,03103333
1,87	18,27717	0,0312
1,88	18,41068	0,03136667
1,89	18,52512	0,03153333
1,9	18,62208	0,0317
1,91	18,7095	0,03186667
1,92	18,79851	0,03203334
1,93	18,88593	0,0322
1,94	18,97494	0,03236667
1,95	19,07031	0,03253333
1,96	19,17998	0,0327
1,97	19,29919	0,03286667
1,98	19,4327	0,03303333
1,99	19,57575	0,0332
2	19,70927	0,03336667
2,01	19,80464	0,03353333
2,02	19,85391	0,0337
2,03	19,91908	0,03386667
2,04	20,06372	0,03403333
2,05	20,29101	0,0342
2,06	20,52784	0,03436667
2,07	20,69155	0,03453333
2,08	20,75672	0,0347
2,09	20,78851	0,03486667
2,1	20,84891	0,03503333
2,11	20,94428	0,0352
2,12	21,03806	0,03536667
2,13	21,12547	0,03553334
2,14	21,23515	0,0357
2,15	21,37343	0,03586667
2,16	21,51966	0,03603333
2,17	21,63092	0,0362
2,18	21,69927	0,03636667
2,19	21,74059	0,0365
2,2	21,79941	0,0367
2,21	21,91702	0,03686667
2,22	22,08551	0,03703333
2,23	22,26512	0,0372
2,24	22,42247	0,03736667
2,25	22,55758	0,03753334
2,26	22,68632	0,0377
2,27	22,80553	0,03786667
2,28	22,90567	0,03803333
2,29	22,98196	0,0382
2,3	23,03918	0,03836667
2,31	23,0964	0,03853333
2,32	23,18859	0,0387
2,33	23,33641	0,03886667
2,34	23,51761	0,03903333
2,35	23,70199	0,0392
2,36	23,85457	0,03936667
2,37	23,9563	0,03953333
2,38	24,00398	0,0397
2,39	24,02306	0,03986667
2,4	24,0612	0,04003333
2,41	24,15975	0,0402
2,42	24,33141	0,04036667
2,43	24,53804	0,04053333
2,44	24,73036	0,0407
2,45	24,86547	0,04086667
2,46	24,93382	0,04103334
2,47	24,95925	0,0412
2,48	24,97991	0,04136667
2,49	25,02918	0,04153333
2,5	25,12773	0,0417
2,51	25,28191	0,04186667
2,52	25,48377	0,04203333
2,53	25,69834	0,0422
2,54	25,88272	0,04236667
2,55	26,00193	0,04253333
2,56	26,07346	0,0427
2,57	26,1275	0,04286667
2,58	26,20697	0,04303334
2,59	26,31982	0,0432
2,6	26,45334	0,04336667
2,61	26,58685	0,04353333
2,62	26,71401	0,0437
2,63	26,83957	0,04386667
2,64	26,94766	0,04403333
2,65	27,0319	0,0442
2,66	27,09866	0,04436667
2,67	27,16382	0,0445
2,68	27,25283	0,0447
2,69	27,37045	0,04486667
2,7	27,51032	0,04503334
2,71	27,65814	0,0452
2,72	27,78848	0,04536667
2,73	27,90451	0,04553333
2,74	28,011	0,0457
2,75	28,11114	0,04586667
2,76	28,20969	0,04603333
2,77	28,32413	0,0462
2,78	28,45923	0,04636667
2,79	28,61182	0,04653334
2,8	28,75328	0,0467
2,81	28,85183	0,04686667
2,82	28,91064	0,04703333
2,83	28,96468	0,0472
2,84	29,04097	0,04736667
2,85	29,16177	0,04753333
2,86	29,33025	0,0477
2,87	29,51463	0,04786667
2,88	29,66881	0,04803333
2,89	29,77053	0,0482
2,9	29,8357	0,04836667
2,91	29,90246	0,04853334
2,92	29,99783	0,0487
2,93	30,12816	0,04886667
2,94	30,28393	0,04903333
2,95	30,43334	0,0492
2,96	30,55573	0,04936667
2,97	30,65109	0,04953333
2,98	30,73533	0,0497
2,99	30,80845	0,04986667
3	30,87839	0,05003333
3,01	30,97375	0,0502
3,02	31,09932	0,05036667
3,03	31,25191	0,05053334
3,04	31,41721	0,0507
3,05	31,58092	0,05086667
3,06	31,71603	0,05103333
3,07	31,81458	0,0512
3,08	31,87974	0,05136667
